week_date,sales
24/8/20,919265
24/8/20,928412
24/8/20,16312
24/8/20,1116468
24/8/20,29642
24/8/20,126151
24/8/20,6645099
24/8/20,2371526
24/8/20,13461
24/8/20,39564
24/8/20,120729
24/8/20,270496
24/8/20,45870
24/8/20,13692
24/8/20,10269
24/8/20,567165
24/8/20,11196782
24/8/20,34932
24/8/20,125849
24/8/20,2227688
24/8/20,3010765
24/8/20,31067
24/8/20,47032
24/8/20,7470104
24/8/20,310461
24/8/20,4841694
24/8/20,1547953
24/8/20,52387
24/8/20,36620
24/8/20,89309
24/8/20,813088
24/8/20,82693
24/8/20,58239
24/8/20,18083790
24/8/20,266751
24/8/20,378826
24/8/20,2208090
24/8/20,74178
24/8/20,11098
24/8/20,152027
24/8/20,625492
24/8/20,66080
24/8/20,9346295
24/8/20,680924
24/8/20,679544
24/8/20,10733
24/8/20,42883
24/8/20,840537
24/8/20,1096534
24/8/20,20686
24/8/20,1931973
24/8/20,5452817
24/8/20,20669
24/8/20,2456263
24/8/20,106346
24/8/20,2337007
24/8/20,4573475
24/8/20,14854110
24/8/20,1015278
24/8/20,6906988
24/8/20,34728
24/8/20,3741035
24/8/20,2819086
24/8/20,3241876
24/8/20,71648
24/8/20,52221
24/8/20,2280564
24/8/20,115870
24/8/20,1033296
24/8/20,500046
24/8/20,29492
24/8/20,14157
24/8/20,64047
24/8/20,26524
24/8/20,64142815
24/8/20,214075
24/8/20,54039
24/8/20,7374481
24/8/20,1561210
24/8/20,469133
24/8/20,11980
24/8/20,16616246
24/8/20,43242
24/8/20,10645503
24/8/20,22769738
24/8/20,20476242
24/8/20,1524244
24/8/20,528808
24/8/20,53692
24/8/20,33223
24/8/20,78136
24/8/20,16290625
24/8/20,996924
24/8/20,13714
24/8/20,4182786
24/8/20,413897
24/8/20,159543
24/8/20,1298505
24/8/20,10941951
24/8/20,207813
24/8/20,5239692
24/8/20,3330717
24/8/20,537132
24/8/20,5765461
24/8/20,266237
24/8/20,131072
24/8/20,10467
24/8/20,25194
24/8/20,1797843
24/8/20,38345
24/8/20,6315069
24/8/20,129020
24/8/20,1860988
24/8/20,486331
24/8/20,28542
24/8/20,18712
24/8/20,5133194
24/8/20,2462103
24/8/20,50412
24/8/20,1064389
24/8/20,697708
24/8/20,3967870
24/8/20,1032953
24/8/20,863537
24/8/20,258305
24/8/20,135256
24/8/20,16974
24/8/20,1869997
24/8/20,976399
24/8/20,47335
24/8/20,360482
24/8/20,133782
24/8/20,86927
24/8/20,17670
24/8/20,38556
24/8/20,48873892
24/8/20,3192813
24/8/20,64341
24/8/20,20685
24/8/20,16395314
24/8/20,387214
24/8/20,55996
24/8/20,836190
24/8/20,89676
24/8/20,3154333
24/8/20,288470
24/8/20,777026
24/8/20,2478289
24/8/20,70227
24/8/20,5212768
24/8/20,267523
24/8/20,408353
24/8/20,67176
24/8/20,64705
24/8/20,914171
24/8/20,29672
24/8/20,17632
24/8/20,885333
24/8/20,386494
24/8/20,3787305
24/8/20,4928018
24/8/20,8667351
24/8/20,11312
24/8/20,17346
24/8/20,18969
24/8/20,6032018
24/8/20,457814
24/8/20,1015962
24/8/20,2165779
24/8/20,557640
24/8/20,60937
24/8/20,2814143
24/8/20,1488390
24/8/20,30166464
24/8/20,1414999
24/8/20,546690
24/8/20,2267164
24/8/20,383717
24/8/20,41345
24/8/20,2211329
24/8/20,24784
17/8/20,1773019
17/8/20,16139861
17/8/20,3828901
17/8/20,40596
17/8/20,166106
17/8/20,10905332
17/8/20,2644212
17/8/20,32059
17/8/20,398543
17/8/20,835663
17/8/20,244502
17/8/20,486614
17/8/20,13673
17/8/20,50681
17/8/20,800804
17/8/20,22610
17/8/20,596390
17/8/20,29942596
17/8/20,1266247
17/8/20,5073372
17/8/20,10896424
17/8/20,466859
17/8/20,916054
17/8/20,2037182
17/8/20,373940
17/8/20,65504
17/8/20,22773234
17/8/20,913223
17/8/20,983842
17/8/20,14221
17/8/20,32930
17/8/20,18084
17/8/20,21468
17/8/20,265997
17/8/20,60436
17/8/20,1675283
17/8/20,41059
17/8/20,1250772
17/8/20,1002507
17/8/20,47810123
17/8/20,2153208
17/8/20,1134144
17/8/20,19877010
17/8/20,1277367
17/8/20,5273053
17/8/20,355884
17/8/20,41827
17/8/20,3617509
17/8/20,10924
17/8/20,1446964
17/8/20,212219
17/8/20,524853
17/8/20,31608
17/8/20,58876
17/8/20,53030
17/8/20,2729635
17/8/20,38114
17/8/20,84305
17/8/20,74690
17/8/20,3274278
17/8/20,7066700
17/8/20,12192
17/8/20,556672
17/8/20,1931124
17/8/20,471211
17/8/20,46232
17/8/20,880164
17/8/20,766933
17/8/20,483235
17/8/20,2166279
17/8/20,35185
17/8/20,61480
17/8/20,1441867
17/8/20,52721
17/8/20,6472772
17/8/20,2224654
17/8/20,2078217
17/8/20,4764104
17/8/20,4804807
17/8/20,12880
17/8/20,958584
17/8/20,20831
17/8/20,2396327
17/8/20,196866
17/8/20,659557
17/8/20,405589
17/8/20,1941072
17/8/20,16388534
17/8/20,4369157
17/8/20,34274
17/8/20,14503756
17/8/20,105769
17/8/20,94505
17/8/20,3912906
17/8/20,317465
17/8/20,128297
17/8/20,123399
17/8/20,28697
17/8/20,3137725
17/8/20,22123
17/8/20,87587
17/8/20,268347
17/8/20,16176
17/8/20,2921332
17/8/20,779071
17/8/20,12524
17/8/20,57614
17/8/20,4808790
17/8/20,1559841
17/8/20,5717894
17/8/20,644709
17/8/20,2058152
17/8/20,6051427
17/8/20,387318
17/8/20,23675
17/8/20,845338
17/8/20,2416174
17/8/20,45713
17/8/20,874082
17/8/20,1057891
17/8/20,33141
17/8/20,26023
17/8/20,6123591
17/8/20,15761
17/8/20,621053
17/8/20,123917
17/8/20,63334453
17/8/20,894642
17/8/20,3448590
17/8/20,2200563
17/8/20,368572
17/8/20,49916
17/8/20,404619
17/8/20,27185
17/8/20,73925
17/8/20,55995
17/8/20,18426
17/8/20,10304393
17/8/20,48155
17/8/20,384548
17/8/20,885237
17/8/20,15916
17/8/20,980601
17/8/20,1695344
17/8/20,130673
17/8/20,34939
17/8/20,545091
17/8/20,4848872
17/8/20,469577
17/8/20,73775
17/8/20,108996
17/8/20,963016
17/8/20,130572
17/8/20,44301952
17/8/20,11766
17/8/20,464078
17/8/20,2838862
17/8/20,14564224
17/8/20,2422702
17/8/20,24158
17/8/20,19159
17/8/20,13301
17/8/20,239332
17/8/20,17601663
17/8/20,52204
17/8/20,581819
17/8/20,237160
17/8/20,128072
17/8/20,2165593
17/8/20,114229
17/8/20,18101
17/8/20,8634287
17/8/20,62113
17/8/20,54266
17/8/20,49047
17/8/20,3505589
17/8/20,263342
17/8/20,132755
17/8/20,26856
17/8/20,1321634
17/8/20,87885
17/8/20,5322541
17/8/20,13519
17/8/20,9224860
17/8/20,35386
17/8/20,256974
17/8/20,16378438
17/8/20,32131
17/8/20,6889807
17/8/20,2313650
17/8/20,457017
17/8/20,90457
17/8/20,143406
17/8/20,135718
17/8/20,32055
17/8/20,1362736
17/8/20,33973
17/8/20,7366089
17/8/20,2918338
17/8/20,67376
17/8/20,432164
17/8/20,302157
17/8/20,1001518
17/8/20,62170
17/8/20,37346
17/8/20,795013
10/8/20,754876
10/8/20,6740764
10/8/20,210922
10/8/20,14470
10/8/20,1765560
10/8/20,2644705
10/8/20,235905
10/8/20,31132
10/8/20,50571
10/8/20,153407
10/8/20,138141
10/8/20,46890
10/8/20,1735568
10/8/20,61261
10/8/20,869093
10/8/20,10752020
10/8/20,203301
10/8/20,823074
10/8/20,809294
10/8/20,23810
10/8/20,428086
10/8/20,133725
10/8/20,18098
10/8/20,2965317
10/8/20,22048568
10/8/20,1060153
10/8/20,58146
10/8/20,37488
10/8/20,5651652
10/8/20,791461
10/8/20,47457
10/8/20,116515
10/8/20,60683
10/8/20,19555
10/8/20,987237
10/8/20,44304726
10/8/20,384475
10/8/20,971003
10/8/20,71027
10/8/20,125489
10/8/20,393008
10/8/20,817285
10/8/20,253770
10/8/20,943870
10/8/20,25595
10/8/20,10955770
10/8/20,2065404
10/8/20,5103156
10/8/20,630749
10/8/20,463189
10/8/20,4800959
10/8/20,239593
10/8/20,83594
10/8/20,3913341
10/8/20,6021186
10/8/20,3656004
10/8/20,2255669
10/8/20,387583
10/8/20,3149550
10/8/20,63599
10/8/20,270941
10/8/20,452765
10/8/20,367732
10/8/20,456586
10/8/20,48736
10/8/20,401444
10/8/20,42180
10/8/20,9056376
10/8/20,19570
10/8/20,22190
10/8/20,4942858
10/8/20,4897462
10/8/20,133349
10/8/20,27346
10/8/20,16081303
10/8/20,157151
10/8/20,62581
10/8/20,31069
10/8/20,8367986
10/8/20,2176256
10/8/20,549728
10/8/20,5163812
10/8/20,641430
10/8/20,62213
10/8/20,15964
10/8/20,1102488
10/8/20,47931
10/8/20,28301
10/8/20,897675
10/8/20,15696
10/8/20,455488
10/8/20,582076
10/8/20,2397332
10/8/20,10344
10/8/20,18109
10/8/20,1636144
10/8/20,51980
10/8/20,368422
10/8/20,31731
10/8/20,514328
10/8/20,29331524
10/8/20,12883
10/8/20,33755
10/8/20,36422
10/8/20,2895594
10/8/20,760457
10/8/20,11651
10/8/20,11136
10/8/20,992630
10/8/20,626319
10/8/20,2224285
10/8/20,13774
10/8/20,49162
10/8/20,2325464
10/8/20,20695
10/8/20,25820
10/8/20,374312
10/8/20,487625
10/8/20,22554
10/8/20,1916228
10/8/20,967881
10/8/20,3864876
10/8/20,89186
10/8/20,7411317
10/8/20,1778458
10/8/20,2213190
10/8/20,16151059
10/8/20,6511989
10/8/20,2282598
10/8/20,57303
10/8/20,173817
10/8/20,5061797
10/8/20,16391442
10/8/20,51616
10/8/20,18242
10/8/20,973232
10/8/20,74656
10/8/20,1409891
10/8/20,3128812
10/8/20,80339
10/8/20,48068626
10/8/20,975579
10/8/20,2158541
10/8/20,3578742
10/8/20,17632
10/8/20,10008
10/8/20,3447184
10/8/20,877826
10/8/20,37629
10/8/20,4470218
10/8/20,1574081
10/8/20,19648444
10/8/20,1329921
10/8/20,119212
10/8/20,15942
10/8/20,103204
10/8/20,576552
10/8/20,469306
10/8/20,2921528
10/8/20,448436
10/8/20,2009834
10/8/20,1272871
10/8/20,2001478
10/8/20,29180
10/8/20,7144721
10/8/20,474293
10/8/20,12432
10/8/20,766241
10/8/20,2144477
10/8/20,123959
10/8/20,127212
10/8/20,947244
10/8/20,10186501
10/8/20,17283430
10/8/20,44269
10/8/20,39281
10/8/20,123959
10/8/20,16886
10/8/20,88689
10/8/20,1256976
10/8/20,46478
10/8/20,4778226
10/8/20,14203517
10/8/20,253694
10/8/20,2810314
10/8/20,72189
10/8/20,74278
10/8/20,12029
10/8/20,27675
10/8/20,14450180
10/8/20,45523
10/8/20,76381
10/8/20,54929
10/8/20,30184
10/8/20,6134984
10/8/20,2309908
10/8/20,1443978
10/8/20,413810
10/8/20,29727
10/8/20,265390
10/8/20,840062
10/8/20,63455857
10/8/20,32094
10/8/20,285329
10/8/20,80045
10/8/20,2417332
10/8/20,264650
3/8/20,295484
3/8/20,4330025
3/8/20,4609445
3/8/20,1220181
3/8/20,85829
3/8/20,52274
3/8/20,410446
3/8/20,943794
3/8/20,14164525
3/8/20,12238
3/8/20,61642928
3/8/20,46017560
3/8/20,19180184
3/8/20,16466
3/8/20,736052
3/8/20,1915643
3/8/20,82928
3/8/20,947836
3/8/20,5223071
3/8/20,642677
3/8/20,49924
3/8/20,10684085
3/8/20,101235
3/8/20,42818477
3/8/20,362902
3/8/20,1274011
3/8/20,16192583
3/8/20,1885049
3/8/20,46471
3/8/20,559894
3/8/20,81274
3/8/20,948460
3/8/20,15748
3/8/20,48997
3/8/20,741610
3/8/20,9911498
3/8/20,635394
3/8/20,24231
3/8/20,517548
3/8/20,857603
3/8/20,29101768
3/8/20,39520
3/8/20,29953
3/8/20,33537
3/8/20,33415
3/8/20,124490
3/8/20,250222
3/8/20,1385553
3/8/20,3752174
3/8/20,466656
3/8/20,25585
3/8/20,441168
3/8/20,49417
3/8/20,176979
3/8/20,21705275
3/8/20,3108705
3/8/20,842451
3/8/20,16094778
3/8/20,227477
3/8/20,35256
3/8/20,5902067
3/8/20,50063
3/8/20,19479
3/8/20,6979626
3/8/20,29866
3/8/20,16996
3/8/20,3531435
3/8/20,252808
3/8/20,144954
3/8/20,2767752
3/8/20,856662
3/8/20,29196
3/8/20,4646974
3/8/20,29049
3/8/20,2172605
3/8/20,2320686
3/8/20,562847
3/8/20,4892297
3/8/20,5090774
3/8/20,36328
3/8/20,2152841
3/8/20,123899
3/8/20,62057
3/8/20,13556
3/8/20,3105611
3/8/20,58368
3/8/20,12781
3/8/20,2706726
3/8/20,30399
3/8/20,10915
3/8/20,3740642
3/8/20,71284
3/8/20,10801
3/8/20,771483
3/8/20,103074
3/8/20,17516
3/8/20,371364
3/8/20,496660
3/8/20,7316093
3/8/20,951224
3/8/20,979333
3/8/20,121654
3/8/20,377065
3/8/20,330928
3/8/20,3528374
3/8/20,4777068
3/8/20,32554
3/8/20,8830183
3/8/20,884249
3/8/20,80314
3/8/20,13763594
3/8/20,59645
3/8/20,948888
3/8/20,829369
3/8/20,41085
3/8/20,71965
3/8/20,2555608
3/8/20,2112377
3/8/20,1434267
3/8/20,135351
3/8/20,49577
3/8/20,2336040
3/8/20,471671
3/8/20,20494
3/8/20,59473
3/8/20,4694548
3/8/20,122312
3/8/20,118436
3/8/20,1710355
3/8/20,2044756
3/8/20,10636371
3/8/20,5673928
3/8/20,290457
3/8/20,15488
3/8/20,439650
3/8/20,2291660
3/8/20,66788
3/8/20,394490
3/8/20,440934
3/8/20,84868
3/8/20,41633
3/8/20,15599
3/8/20,228738
3/8/20,254168
3/8/20,1045069
3/8/20,12913
3/8/20,1133877
3/8/20,878770
3/8/20,23265
3/8/20,2892022
3/8/20,426024
3/8/20,680214
3/8/20,35954
3/8/20,494801
3/8/20,26592
3/8/20,18314
3/8/20,2148701
3/8/20,346746
3/8/20,41486
3/8/20,121649
3/8/20,27496
3/8/20,773324
3/8/20,1916895
3/8/20,1401391
3/8/20,627747
3/8/20,193590
3/8/20,2864778
3/8/20,1532557
3/8/20,384914
3/8/20,32665
3/8/20,1217020
3/8/20,23031
3/8/20,3458770
3/8/20,14772
3/8/20,49202
3/8/20,6486903
3/8/20,446202
3/8/20,68886
3/8/20,59698
3/8/20,17048578
3/8/20,804677
3/8/20,240829
3/8/20,129132
3/8/20,975397
3/8/20,79978
3/8/20,15337
3/8/20,5903130
3/8/20,20774
3/8/20,49446
3/8/20,15849162
3/8/20,6333845
3/8/20,2197660
3/8/20,136064
3/8/20,8500159
3/8/20,35918
3/8/20,1905328
3/8/20,27724
3/8/20,1667548
3/8/20,198113
3/8/20,2195120
3/8/20,2202351
3/8/20,50935
3/8/20,444135
3/8/20,1559030
3/8/20,25571
27/7/20,43750
27/7/20,225203
27/7/20,242451
27/7/20,30415
27/7/20,10778735
27/7/20,29438399
27/7/20,38369
27/7/20,18960
27/7/20,2782614
27/7/20,3198412
27/7/20,13149
27/7/20,42767
27/7/20,111206
27/7/20,44339163
27/7/20,377502
27/7/20,16227305
27/7/20,31400
27/7/20,138468
27/7/20,481821
27/7/20,22325991
27/7/20,10930601
27/7/20,376313
27/7/20,1139273
27/7/20,2155696
27/7/20,57870
27/7/20,7019414
27/7/20,186004
27/7/20,2227148
27/7/20,943932
27/7/20,561667
27/7/20,13180
27/7/20,898086
27/7/20,79612
27/7/20,14326
27/7/20,5667340
27/7/20,292051
27/7/20,860633
27/7/20,24976
27/7/20,47765471
27/7/20,62928637
27/7/20,68474
27/7/20,744488
27/7/20,14326523
27/7/20,3572043
27/7/20,534290
27/7/20,2078352
27/7/20,57245
27/7/20,65898
27/7/20,4968515
27/7/20,348108
27/7/20,385205
27/7/20,88599
27/7/20,345413
27/7/20,767267
27/7/20,130785
27/7/20,2816617
27/7/20,11402
27/7/20,1434938
27/7/20,31048
27/7/20,52621
27/7/20,71342
27/7/20,67668
27/7/20,1761105
27/7/20,56183
27/7/20,121017
27/7/20,14525044
27/7/20,2081243
27/7/20,16292370
27/7/20,44064
27/7/20,5238225
27/7/20,518203
27/7/20,381937
27/7/20,10346670
27/7/20,902697
27/7/20,19734091
27/7/20,1216238
27/7/20,211344
27/7/20,80619
27/7/20,14015
27/7/20,4762558
27/7/20,84123
27/7/20,479626
27/7/20,41097
27/7/20,143714
27/7/20,25143
27/7/20,2554095
27/7/20,13259
27/7/20,465334
27/7/20,625767
27/7/20,74509
27/7/20,137453
27/7/20,645839
27/7/20,36418
27/7/20,2404649
27/7/20,4791080
27/7/20,8519454
27/7/20,25411
27/7/20,125858
27/7/20,12923
27/7/20,4869206
27/7/20,1893294
27/7/20,626785
27/7/20,192040
27/7/20,1952513
27/7/20,64996
27/7/20,50162
27/7/20,898969
27/7/20,43747
27/7/20,3847398
27/7/20,77439
27/7/20,17729
27/7/20,259629
27/7/20,760201
27/7/20,61809
27/7/20,1717261
27/7/20,34091
27/7/20,29196
27/7/20,958758
27/7/20,49717
27/7/20,38774
27/7/20,28001
27/7/20,60902
27/7/20,61013
27/7/20,273835
27/7/20,938768
27/7/20,19467
27/7/20,110373
27/7/20,909661
27/7/20,28437
27/7/20,48699
27/7/20,468245
27/7/20,879849
27/7/20,10463
27/7/20,2343529
27/7/20,13137
27/7/20,1364098
27/7/20,2727018
27/7/20,758731
27/7/20,60228
27/7/20,21978
27/7/20,127328
27/7/20,2197117
27/7/20,6082257
27/7/20,11557
27/7/20,121037
27/7/20,3114811
27/7/20,58713
27/7/20,3502848
27/7/20,34815
27/7/20,2196724
27/7/20,15777
27/7/20,45882
27/7/20,256948
27/7/20,541837
27/7/20,956986
27/7/20,2177934
27/7/20,26901
27/7/20,115041
27/7/20,17763
27/7/20,363721
27/7/20,1294690
27/7/20,402254
27/7/20,2352527
27/7/20,8996748
27/7/20,13271
27/7/20,276061
27/7/20,5148958
27/7/20,1565232
27/7/20,1423505
27/7/20,994755
27/7/20,267554
27/7/20,119940
27/7/20,459215
27/7/20,1252642
27/7/20,1231092
27/7/20,828615
27/7/20,18496
27/7/20,4704044
27/7/20,15121
27/7/20,3843472
27/7/20,3469437
27/7/20,2863258
27/7/20,406531
27/7/20,1013638
27/7/20,796270
27/7/20,28367
27/7/20,1875528
27/7/20,4311948
27/7/20,1736775
27/7/20,23958
27/7/20,28610
27/7/20,456758
27/7/20,58978
27/7/20,17459996
27/7/20,45183
27/7/20,6100395
27/7/20,2115366
27/7/20,377163
27/7/20,987749
27/7/20,14741
27/7/20,7362940
27/7/20,93430
27/7/20,621920
27/7/20,16151906
27/7/20,6383831
27/7/20,6745388
27/7/20,451063
20/7/20,30585
20/7/20,765236
20/7/20,3159999
20/7/20,958916
20/7/20,133491
20/7/20,22310
20/7/20,22455922
20/7/20,43528
20/7/20,548945
20/7/20,466447
20/7/20,8660088
20/7/20,4752004
20/7/20,1247948
20/7/20,301315
20/7/20,90978
20/7/20,17126
20/7/20,10895245
20/7/20,16808
20/7/20,7137877
20/7/20,1683788
20/7/20,90453
20/7/20,363052
20/7/20,47791
20/7/20,1919562
20/7/20,13052
20/7/20,808511
20/7/20,417392
20/7/20,5427473
20/7/20,47972511
20/7/20,747028
20/7/20,16304351
20/7/20,6478915
20/7/20,2221054
20/7/20,5112601
20/7/20,3496953
20/7/20,74015
20/7/20,16391
20/7/20,1555754
20/7/20,55762
20/7/20,85120
20/7/20,10928664
20/7/20,357691
20/7/20,10487
20/7/20,25173
20/7/20,33904
20/7/20,50749
20/7/20,2261549
20/7/20,26800
20/7/20,16500877
20/7/20,57555
20/7/20,245938
20/7/20,16421119
20/7/20,126640
20/7/20,4795261
20/7/20,4870216
20/7/20,1294153
20/7/20,972506
20/7/20,22746
20/7/20,22396
20/7/20,499512
20/7/20,28133
20/7/20,981310
20/7/20,262802
20/7/20,17623
20/7/20,2028159
20/7/20,10573661
20/7/20,203596
20/7/20,1833024
20/7/20,2342177
20/7/20,587888
20/7/20,61697
20/7/20,51862
20/7/20,4365281
20/7/20,2123835
20/7/20,3829214
20/7/20,14519356
20/7/20,2006512
20/7/20,19444
20/7/20,30479
20/7/20,130422
20/7/20,468073
20/7/20,6109826
20/7/20,2405671
20/7/20,53982
20/7/20,255741
20/7/20,14549
20/7/20,1256163
20/7/20,19892631
20/7/20,50526
20/7/20,2810528
20/7/20,61889
20/7/20,901515
20/7/20,18424
20/7/20,44121039
20/7/20,385373
20/7/20,28481
20/7/20,881857
20/7/20,900625
20/7/20,574668
20/7/20,48582
20/7/20,3781770
20/7/20,900090
20/7/20,34344
20/7/20,913548
20/7/20,5766441
20/7/20,455358
20/7/20,302831
20/7/20,391534
20/7/20,491853
20/7/20,1305104
20/7/20,76690
20/7/20,44311
20/7/20,455505
20/7/20,37911
20/7/20,1413519
20/7/20,192113
20/7/20,4803614
20/7/20,86532
20/7/20,59062
20/7/20,514992
20/7/20,65445
20/7/20,393626
20/7/20,114339
20/7/20,65844
20/7/20,87400
20/7/20,1715278
20/7/20,29964
20/7/20,262746
20/7/20,131032
20/7/20,898406
20/7/20,315154
20/7/20,19477
20/7/20,13028
20/7/20,11678
20/7/20,54568
20/7/20,630502
20/7/20,29543
20/7/20,3213486
20/7/20,11698
20/7/20,450393
20/7/20,15325
20/7/20,3684970
20/7/20,15964
20/7/20,38296
20/7/20,988683
20/7/20,51488
20/7/20,16866
20/7/20,20881
20/7/20,72445
20/7/20,36563
20/7/20,838393
20/7/20,250899
20/7/20,28946
20/7/20,126503
20/7/20,28783
20/7/20,42955
20/7/20,5186278
20/7/20,954335
20/7/20,2379963
20/7/20,118008
20/7/20,157675
20/7/20,2090463
20/7/20,29267
20/7/20,408602
20/7/20,1037553
20/7/20,759300
20/7/20,100530
20/7/20,7433604
20/7/20,942427
20/7/20,1567314
20/7/20,2561268
20/7/20,2191069
20/7/20,45739
20/7/20,6836676
20/7/20,404284
20/7/20,2829983
20/7/20,138830
20/7/20,218584
20/7/20,14689469
20/7/20,901385
20/7/20,1178759
20/7/20,6082823
20/7/20,3493943
20/7/20,2610325
20/7/20,634416
20/7/20,51774
20/7/20,76985
20/7/20,130177
20/7/20,25035
20/7/20,17956144
20/7/20,2900766
20/7/20,1419658
20/7/20,2218243
20/7/20,63336353
20/7/20,83884
20/7/20,112544
20/7/20,12960
20/7/20,680965
20/7/20,51745
20/7/20,31243
20/7/20,203880
20/7/20,30028424
20/7/20,1150712
20/7/20,9117643
20/7/20,2104602
20/7/20,531587
20/7/20,383264
13/7/20,48791
13/7/20,30885
13/7/20,120331
13/7/20,30243
13/7/20,14192
13/7/20,247610
13/7/20,30552
13/7/20,869174
13/7/20,25065
13/7/20,382504
13/7/20,11076975
13/7/20,36246
13/7/20,148571
13/7/20,87265
13/7/20,454018
13/7/20,46406
13/7/20,2339853
13/7/20,96182
13/7/20,13601
13/7/20,610452
13/7/20,1297733
13/7/20,88441
13/7/20,16202
13/7/20,5634892
13/7/20,2271620
13/7/20,45008
13/7/20,534888
13/7/20,31710
13/7/20,53306
13/7/20,208790
13/7/20,261616
13/7/20,49934
13/7/20,1030211
13/7/20,77172
13/7/20,2293030
13/7/20,3438800
13/7/20,51812
13/7/20,7366350
13/7/20,427409
13/7/20,53782
13/7/20,1537432
13/7/20,9184537
13/7/20,904637
13/7/20,138829
13/7/20,1705837
