item_name,qty_sold(kg)
Needle Mushroom (1),0.452
Yunnan Shengcai,0.576
Red Hang Pepper,0.784
Sweet Chinese Cabbage,0.714
Millet Pepper,0.089
Red Pepper (1),0.21
Broccoli,0.444
Millet Pepper,0.031
Xixia Mushroom (1),0.223
Shanghaiqing,0.21
Haixian Mushroom (1),0.238
Yunnan Lettuces,0.401
Qinggengsanhua,0.379
Broccoli,0.429
Broccoli,0.429
Paopaojiao (Jingpin),0.277
Green Eggplant (1),0.251
Red Pepper (1),0.16
Broccoli,0.436
Amaranth,0.602
Broccoli,0.823
Shanghaiqing,0.301
Sweet Chinese Cabbage,0.815
Huangbaicai (2),0.846
Spinach,0.594
Qinggengsanhua,0.412
Yunnan Lettuces,0.452
Yunnan Shengcai,0.1
Millet Pepper,0.047
Yunnan Shengcai,0.113
Hongshujian,0.234
Paopaojiao (Jingpin),0.554
Hongshujian,0.268
Paopaojiao (Jingpin),0.449
Green Eggplant (1),0.729
Yunnan Lettuces,0.452
Paopaojiao (Jingpin),0.132
Yunnan Lettuces,0.351
Xixia Mushroom (1),0.228
Chinese Cabbage,0.692
Huangbaicai (2),0.768
Red Hang Pepper,0.15
Paopaojiao (Jingpin),0.251
Yunnan Shengcai,0.263
Foreign Garland Chrysanthemum ,0.313
Yunnan Shengcai,0.338
Sweet Chinese Cabbage,0.589
Yunnan Lettuces,0.401
Needle Mushroom (1),0.468
Green Eggplant (1),0.427
Paopaojiao (Jingpin),0.238
Broccoli,0.436
Xixia Mushroom (1),0.089
Yunnan Lettuces,0.619
Xixia Mushroom (1),0.084
Broccoli,0.393
Green Eggplant (1),0.477
Zhuyecai,0.401
Qinggengsanhua,0.423
High Melon (1),0.291
Red Hang Pepper,0.161
Apricot Bao Mushroom (1),0.21
Shanghaiqing,0.411
Zhuyecai,0.468
Broccoli,0.329
Yunnan Shengcai,0.276
Paopaojiao (Jingpin),0.238
High Melon (1),0.361
Paopaojiao (Jingpin),0.356
Xixia Mushroom (1),0.256
Broccoli,0.343
Yunnan Lettuces,0.518
Chinese Cabbage,0.426
Paopaojiao (Jingpin),0.462
Broccoli,0.329
Amaranth,0.619
Green Line Pepper,0.329
Zhuyecai,0.368
Paopaojiao (Jingpin),0.462
Paopaojiao (Jingpin),0.251
Green Line Pepper,0.258
Paopaojiao (Jingpin),0.435
Apricot Bao Mushroom (1),0.301
Zhuyecai,0.836
Paopaojiao (Jingpin),0.251
Qinggengsanhua,0.535
Amaranth,0.452
Yunnan Shengcai,0.426
Apricot Bao Mushroom (1),0.441
Green Eggplant (1),0.729
Paopaojiao (Jingpin),0.383
Yunnan Shengcai,0.313
Bell Pepper (1),0.376
Chinese Cabbage,0.432
Paopaojiao (Jingpin),0.594
Zhuyecai,0.401
Red Pepper (1),0.321
Sweet Chinese Cabbage,0.401
Paopaojiao (Jingpin),0.264
Yunnan Shengcai,0.363
Yunnan Shengcai,0.313
Chinese Cabbage,0.451
Yunnan Shengcai,0.551
Broccoli,0.436
Qinggengsanhua,0.49
Hongshujian,0.251
Caixin,0.551
Hongshujian,0.217
Yunnan Shengcai,0.251
Paopaojiao (Jingpin),0.303
Millet Pepper,0.182
Green Eggplant (1),0.729
Yunnan Lettuces,0.435
Millet Pepper,0.078
Needle Mushroom (1),0.518
Apricot Bao Mushroom (1),0.611
Yunnan Shengcai,0.238
Hongshujian,0.452
Paopaojiao (Jingpin),0.462
Millet Pepper,0.128
Yunnan Shengcai,0.489
Paopaojiao (Jingpin),0.501
Chinese Cabbage,1.258
Yunnan Shengcai,0.363
Hongshujian,0.251
Zhuyecai,0.401
Green Eggplant (1),0.553
Amaranth,0.602
Broccoli,0.708
Zhuyecai,0.401
Needle Mushroom (1),0.468
Yunnan Lettuces,0.435
Shanghaiqing,0.571
Yunnan Shengcai,0.414
Hongshujian,0.636
Broccoli,0.343
Chinese Cabbage,0.313
Xixia Mushroom (1),0.189
Paopaojiao (Jingpin),0.924
Hongshujian,0.535
Xixia Mushroom (1),0.178
Foreign Garland Chrysanthemum ,0.25
Caixin,0.526
Paopaojiao (Jingpin),0.581
Yunnan Shengcai,0.1
Yunnan Shengcai,0.351
Yunnan Shengcai,0.727
Yunnan Shengcai,0.664
Broccoli,0.393
Paopaojiao (Jingpin),0.673
Millet Pepper,0.05
Sweet Chinese Cabbage,0.489
Shanghaiqing,0.421
Red Hang Pepper,0.122
Paopaojiao (Jingpin),0.515
Muercai,0.344
Yunnan Shengcai,0.689
The Red Bell Pepper (1),0.343
Shanghaiqing,0.241
Yunnan Shengcai,0.551
Paopaojiao (Jingpin),0.132
Paopaojiao (Jingpin),0.33
Paopaojiao (Jingpin),0.356
Spinach,0.379
Paopaojiao (Jingpin),0.462
Chinese Cabbage,0.723
Broccoli,0.758
7 Colour Pepper (1),0.213
The Red Bell Pepper (1),0.165
Paopaojiao (Jingpin),0.396
Paopaojiao (Jingpin),0.488
Yunnan Lettuces,0.401
Broccoli,0.472
Apricot Bao Mushroom (1),0.411
Hongshujian,0.485
Paopaojiao (Jingpin),0.739
Yunnan Lettuces,0.368
Yunnan Lettuces,0.535
Spinach,0.207
Yunnan Shengcai,0.263
Spinach,0.501
Needle Mushroom (1),0.468
Zhuyecai,0.636
Zhuyecai,0.368
Paopaojiao (Jingpin),0.475
Wawacai,1.0
Zhuyecai,0.351
Muercai,0.344
Sweet Chinese Cabbage,0.514
Green Line Pepper,0.2
Broccoli,0.479
Red Pepper (1),0.08
Chinese Cabbage,0.755
Qinggengsanhua,0.546
Broccoli,0.436
Red Pepper (1),0.14
Eggplant (2),0.401
Paopaojiao (Jingpin),0.158
Chinese Cabbage,0.451
Green Eggplant (1),0.578
Shanghaiqing,0.671
Millet Pepper,0.027
Paopaojiao (Jingpin),0.383
Yunnan Lettuces,0.435
Yunnan Shengcai,0.338
Yunnan Lettuces,0.318
Zhuyecai,0.518
Paopaojiao (Jingpin),0.369
Broccoli,-0.436
Eggplant (2),0.836
Yunnan Shengcai,0.188
Amaranth,0.518
Hongshujian,0.251
Paopaojiao (Jingpin),0.119
Foreign Garland Chrysanthemum ,0.238
Yunnan Shengcai,0.238
Paopaojiao (Jingpin),0.343
Zhuyecai,0.351
Zhuyecai,0.401
Needle Mushroom (1),0.435
Wawacai,1.0
Qinggengsanhua,0.713
Eggplant (2),0.351
Sweet Chinese Cabbage,0.915
Eggplant (2),0.753
Paopaojiao (Jingpin),0.646
Broccoli,0.429
Qinggengsanhua,0.635
Green Eggplant (1),0.628
Broccoli,0.3
Apricot Bao Mushroom (1),0.992
Yunnan Lettuces,0.853
Bell Pepper (1),0.359
The Red Bell Pepper (1),0.315
Paopaojiao (Jingpin),0.383
Yunnan Shengcai,0.702
Paopaojiao (Jingpin),0.211
Shanghaiqing,0.561
Yunnan Lettuces,0.518
Apricot Bao Mushroom (1),0.241
Paopaojiao (Jingpin),0.264
High Melon (1),0.2
Sweet Chinese Cabbage,0.501
Spinach,0.436
Paopaojiao (Jingpin),0.541
Xixia Mushroom (1),0.106
Hongshujian,0.234
Xixia Mushroom (1),0.206
Paopaojiao (Jingpin),0.238
Sweet Chinese Cabbage,0.301
Yunnan Shengcai,0.288
Yunnan Lettuces,0.552
Yunnan Shengcai,0.79
Yunnan Shengcai,0.351
Paopaojiao (Jingpin),0.449
Broccoli,0.408
Apricot Bao Mushroom (1),0.22
Zhuyecai,0.87
Apricot Bao Mushroom (1),0.271
Sweet Chinese Cabbage,0.501
Yunnan Lettuces,0.385
Paopaojiao (Jingpin),0.435
Hongshujian,0.234
Millet Pepper,0.089
Eggplant (2),0.836
Broccoli,0.544
Chinese Cabbage,0.357
Yunnan Shengcai,0.326
Green Hot Peppers,0.075
Red Pepper (1),0.09
Hongshujian,0.452
Broccoli,0.451
Broccoli,0.401
Sweet Chinese Cabbage,0.338
Green Line Pepper,0.129
Red Hang Pepper,0.072
Yunnan Shengcai,0.501
Spinach,0.601
Paopaojiao (Jingpin),0.185
Needle Mushroom (1),0.318
Paopaojiao (Jingpin),0.607
Yunnan Shengcai,0.426
Wawacai,1.0
Shanghaiqing,0.782
High Melon (1),0.331
Broccoli,0.379
Shanghaiqing,0.431
Millet Pepper,0.256
Chinese Cabbage,1.069
Xixia Mushroom (1),0.173
Red Pepper (1),0.07
Chinese Cabbage,0.388
Huangbaicai (2),0.29
Eggplant (2),0.385
Apricot Bao Mushroom (1),0.411
Needle Mushroom (1),0.468
Huangbaicai (2),0.535
Broccoli,0.515
Paopaojiao (Jingpin),0.29
Yunnan Shengcai,0.363
Yunnan Lettuces,0.334
Needle Mushroom (1),0.435
Yunnan Lettuces,0.201
7 Colour Pepper (1),0.288
Shanghaiqing,0.231
Sweet Chinese Cabbage,0.401
Yunnan Lettuces,0.368
Shanghaiqing,0.16
Xixia Mushroom (1),0.39
Apricot Bao Mushroom (1),0.281
Millet Pepper,0.089
Broccoli,0.386
Yunnan Lettuces,0.368
Needle Mushroom (1),0.418
Broccoli,0.401
Green Eggplant (1),0.251
Yunnan Shengcai,0.213
Huangbaicai (2),0.368
Needle Mushroom (1),0.418
Green Line Pepper,0.143
Millet Pepper,0.085
Caixin,0.589
Huangbaicai (2),0.613
Broccoli,0.436
Hongshujian,0.953
Green Hot Peppers,0.238
7 Colour Pepper (1),0.419
Broccoli,0.329
Hongshujian,0.485
Yunnan Shengcai,0.338
Muercai,0.459
Shanghaiqing,0.341
Yunnan Shengcai,0.401
Sweet Chinese Cabbage,0.99
Hongshujian,0.234
Yunnan Lettuces,0.334
Yunnan Shengcai,0.226
Wawacai,1.0
Shanghaiqing,0.15
Xixia Mushroom (1),0.418
Shanghaiqing,0.371
Paopaojiao (Jingpin),0.33
Yunnan Shengcai,0.263
Paopaojiao (Jingpin),0.303
The Red Bell Pepper (1),0.136
Yunnan Lettuces,0.318
Qinggengsanhua,0.323
Green Line Pepper,0.551
Wawacai,1.0
Millet Pepper,0.074
Foreign Garland Chrysanthemum ,0.388
Needle Mushroom (1),0.418
Paopaojiao (Jingpin),0.501
Hongshujian,0.234
Paopaojiao (Jingpin),0.238
Paopaojiao (Jingpin),0.554
Needle Mushroom (1),0.401
Yunnan Lettuces,0.636
Yunnan Shengcai,0.326
Chinese Cabbage,1.006
Broccoli,0.572
Apricot Bao Mushroom (1),0.421
Chinese Cabbage,0.369
High Melon (1),0.361
Hongshujian,0.502
Broccoli,0.436
Zhuyecai,0.418
Yunnan Shengcai,0.464
Yunnan Lettuces,0.769
High Melon (1),0.291
Shanghaiqing,0.351
Paopaojiao (Jingpin),0.581
Chinese Cabbage,1.069
Yunnan Shengcai,0.326
Amaranth,0.92
Broccoli,0.379
Yunnan Shengcai,0.351
Eggplant (2),0.368
The Red Bell Pepper (1),0.293
Yunnan Shengcai,0.326
Broccoli,0.522
Red Pepper (1),0.17
Broccoli,0.465
Paopaojiao (Jingpin),0.356
Eggplant (2),0.351
Hongshujian,0.217
Xixia Mushroom (1),0.123
Broccoli,0.379
Paopaojiao (Jingpin),0.726
Yunnan Shengcai,0.401
Caixin,0.301
Muercai,0.33
Yunnan Lettuces,0.368
Hongshujian,0.418
Apricot Bao Mushroom (1),0.22
Yunnan Lettuces,0.602
Sweet Chinese Cabbage,0.451
Yunnan Shengcai,0.301
Hongshujian,0.502
Paopaojiao (Jingpin),0.435
Yunnan Lettuces,0.418
Apricot Bao Mushroom (1),0.291
Spinach,0.3
Apricot Bao Mushroom (1),0.311
Needle Mushroom (1),0.418
Eggplant (2),0.385
Broccoli,1.03
Apricot Bao Mushroom (1),0.2
Sweet Chinese Cabbage,0.739
Qinggengsanhua,0.323
Caixin,0.677
High Melon (1),0.17
Xixia Mushroom (1),0.217
Sweet Chinese Cabbage,0.777
Hongshujian,0.251
Green Hot Peppers,0.313
Muercai,0.287
Yunnan Lettuces,0.468
Shanghaiqing,0.451
Qinggengsanhua,0.512
Millet Pepper,0.132
Hongshujian,0.234
Eggplant (2),0.418
Paopaojiao (Jingpin),0.409
Red Pepper (1),0.241
Haixian Mushroom (1),0.401
Hongshujian,0.251
Millet Pepper,0.078
Yunnan Shengcai,0.401
Millet Pepper,0.058
Yunnan Shengcai,0.326
Hongshujian,0.628
Red Pepper (1),0.14
Paopaojiao (Jingpin),0.224
Broccoli,0.329
Yunnan Shengcai,0.175
Broccoli,0.351
Paopaojiao (Jingpin),0.528
Jigu Mushroom (1),0.122
Broccoli,0.379
Needle Mushroom (1),0.468
Chinese Cabbage,0.313
Broccoli,0.644
Zhuyecai,0.334
Yunnan Lettuces,0.719
Yunnan Lettuces,0.602
Caixin,0.263
Qinggengsanhua,0.557
Paopaojiao (Jingpin),0.29
Wawacai,1.0
Paopaojiao (Jingpin),0.343
Yunnan Lettuces,0.569
Yunnan Shengcai,0.514
Hongshujian,0.427
Apricot Bao Mushroom (1),0.241
Paopaojiao (Jingpin),0.435
High Melon (1),0.481
Green Line Pepper,0.165
Broccoli,0.444
Honghu Lotus Root,0.186
Yunnan Shengcai,0.489
Yunnan Lettuces,0.401
Paopaojiao (Jingpin),0.238
Needle Mushroom (1),0.485
Broccoli,0.3
Qinggengsanhua,0.312
Needle Mushroom (1),0.518
Sweet Chinese Cabbage,0.99
Sweet Chinese Cabbage,0.464
The Red Bell Pepper (1),0.358
Yunnan Lettuces,0.435
Hongshujian,0.201
Shanghaiqing,0.271
Zhuyecai,0.368
Huangbaicai (2),0.813
Paopaojiao (Jingpin),1.082
Foreign Garland Chrysanthemum ,0.219
Eggplant (2),0.569
Green Hot Peppers,0.326
Yunnan Shengcai,0.326
Xixia Mushroom (1),0.206
Yunnan Shengcai,0.451
Yunnan Lettuces,0.485
Paopaojiao (Jingpin),0.238
Green Line Pepper,0.243
Paopaojiao (Jingpin),0.277
Millet Pepper,0.128
Eggplant (2),0.301
Shanghaiqing,0.401
Xixia Mushroom (1),0.123
Xixia Mushroom (1),0.195
Caixin,0.15
Green Line Pepper,0.165
Green Eggplant (1),0.678
Hongshujian,0.477
Qinggengsanhua,0.535
Green Line Pepper,0.122
Hongshujian,0.452
Xixia Mushroom (1),0.195
Yunnan Lettuces,0.418
Broccoli,0.386
Sweet Chinese Cabbage,0.288
Broccoli,0.458
Millet Pepper,0.07
Paopaojiao (Jingpin),0.264
Spinach,0.551
Hongshujian,0.276
Spinach,0.272
Sweet Chinese Cabbage,0.288
Eggplant (2),0.368
Paopaojiao (Jingpin),0.449
Millet Pepper,0.116
Yunnan Shengcai,0.664
Yunnan Lettuces,0.251
Xixia Mushroom (1),0.329
Yunnan Shengcai,0.476
Yunnan Shengcai,0.451
Xixia Mushroom (1),0.15
Millet Pepper,0.043
Green Line Pepper,0.05
Millet Pepper,0.085
Paopaojiao (Jingpin),0.303
Sweet Chinese Cabbage,0.451
Paopaojiao (Jingpin),0.119
Qinggengsanhua,0.78
Broccoli,0.336
Shanghaiqing,0.631
Yunnan Lettuces,0.652
Yunnan Shengcai,0.288
Foreign Garland Chrysanthemum ,0.269
Yunnan Shengcai,0.15
Green Eggplant (1),0.628
Eggplant (2),0.368
Xixia Mushroom (1),0.039
High Melon (1),0.21
Red Pepper (1),0.06
Yunnan Lettuces,0.368
Muercai,0.33
Muercai,0.315
Haixian Mushroom (1),0.144
Yunnan Shengcai,0.163
Yunnan Shengcai,0.313
Apricot Bao Mushroom (1),0.2
Millet Pepper,0.093
Jigu Mushroom (1),0.093
Yunnan Shengcai,0.376
Hongshujian,0.201
Yellow Xincai (1),0.589
Paopaojiao (Jingpin),0.33
Millet Pepper,0.058
Green Line Pepper,0.165
Paopaojiao (Jingpin),0.343
Yunnan Shengcai,0.238
Hongshujian,0.226
Yunnan Shengcai,0.301
Broccoli,0.379
Hongshujian,0.276
Sweet Chinese Cabbage,0.915
Xixia Mushroom (1),0.345
Paopaojiao (Jingpin),0.224
Apricot Bao Mushroom (1),0.271
Yunnan Shengcai,0.15
Needle Mushroom (1),0.301
Hongshujian,0.477
Yunnan Shengcai,0.213
Broccoli,0.401
Broccoli,0.415
Green Line Pepper,0.379
Muercai,0.315
Green Eggplant (1),0.754
Sweet Chinese Cabbage,1.554
Apricot Bao Mushroom (1),0.271
Yunnan Lettuces,0.351
Red Hang Pepper,0.117
Eggplant (2),1.02
Caixin,0.576
Yunnan Shengcai,0.301
Paopaojiao (Jingpin),0.303
Zhuyecai,0.819
Jigu Mushroom (1),0.2
Shanghaiqing,0.441
Broccoli,0.415
Eggplant (2),1.254
Foreign Garland Chrysanthemum ,0.57
Yunnan Shengcai,0.614
Apricot Bao Mushroom (1),0.461
Apricot Bao Mushroom (1),0.271
Hongshujian,0.226
Yunnan Shengcai,0.313
High Melon (1),0.19
Millet Pepper,0.093
Yunnan Shengcai,0.125
Sweet Chinese Cabbage,0.326
Yunnan Shengcai,0.138
Green Hot Peppers,0.313
Millet Pepper,0.105
Yunnan Lettuces,0.518
Qinggengsanhua,0.579
Yunnan Shengcai,0.439
Caixin,0.263
Yunnan Lettuces,0.452
Paopaojiao (Jingpin),0.343
Red Hang Pepper,0.156
Yunnan Shengcai,0.714
Broccoli,0.386
Eggplant (2),0.251
Caixin,0.263
Shanghaiqing,0.411
Xixia Mushroom (1),0.084
Paopaojiao (Jingpin),0.158
Paopaojiao (Jingpin),0.172
Green Line Pepper,0.422
Huangbaicai (2),0.356
Apricot Bao Mushroom (1),0.241
Yunnan Shengcai,0.188
Needle Mushroom (1),0.251
Zhuyecai,0.334
Hongshujian,0.251
Paopaojiao (Jingpin),0.369
Caixin,0.602
Paopaojiao (Jingpin),0.33
Hongshujian,0.477
Yunnan Shengcai,0.213
Broccoli,0.365
Eggplant (2),0.435
Spinach,0.265
Needle Mushroom (1),0.201
Millet Pepper,0.054
Sweet Chinese Cabbage,0.514
Yunnan Lettuces,0.334
Jigu Mushroom (1),0.186
Yunnan Shengcai,0.489
Paopaojiao (Jingpin),0.554
Caixin,0.551
Zhuyecai,0.401
Yunnan Shengcai,0.514
Huangbaicai (2),0.223
Sweet Chinese Cabbage,0.351
Xixia Mushroom (1),0.178
Green Line Pepper,0.086
Zhuyecai,0.318
Paopaojiao (Jingpin),0.343
Zhuyecai,0.351
Apricot Bao Mushroom (1),0.501
Yunnan Lettuces,0.468
Chinese Cabbage,0.344
Sweet Chinese Cabbage,0.414
Paopaojiao (Jingpin),0.198
Yunnan Shengcai,0.213
Paopaojiao (Jingpin),0.475
Apricot Bao Mushroom (1),0.251
Yunnan Lettuces,0.334
Paopaojiao (Jingpin),0.33
Hongshujian,0.553
Red Pepper (1),0.05
Needle Mushroom (1),0.234
Yellow Xincai (1),0.689
Yunnan Shengcai,0.476
Hongshujian,0.251
Spinach,0.565
Paopaojiao (Jingpin),0.356
Eggplant (2),0.585
Bell Pepper (1),0.192
Needle Mushroom (1),0.468
Red Hang Pepper,0.045
Eggplant (2),0.452
Red Pepper (1),0.09
Millet Pepper,0.019
Green Line Pepper,0.057
Paopaojiao (Jingpin),0.475
Yellow Xincai (1),0.589
Xixia Mushroom (1),0.117
Xixia Mushroom (1),0.106
Paopaojiao (Jingpin),0.409
Yunnan Shengcai,0.138
Green Eggplant (1),0.603
Paopaojiao (Jingpin),0.475
Broccoli,1.166
Shanghaiqing,0.271
Spinach,0.315
Yellow Xincai (1),0.79
Hongshujian,0.402
Millet Pepper,0.151
Needle Mushroom (1),0.452
Broccoli,0.358
Broccoli,0.272
Yunnan Shengcai,0.188
Caixin,0.677
Hongshujian,0.754
Paopaojiao (Jingpin),0.092
Apricot Bao Mushroom (1),0.271
Green Eggplant (1),0.905
Caixin,0.539
Green Eggplant (1),1.432
Muercai,0.315
Foreign Garland Chrysanthemum ,0.182
Xixia Mushroom (1),0.178
Millet Pepper,0.07
Qinggengsanhua,0.523
Qinggengsanhua,0.702
Green Eggplant (1),0.98
Paopaojiao (Jingpin),0.356
Paopaojiao (Jingpin),0.33
Hongshujian,0.302
Paopaojiao (Jingpin),0.356
Paopaojiao (Jingpin),0.356
Yunnan Shengcai,0.564
Millet Pepper,0.116
Chinese Cabbage,0.444
Green Line Pepper,0.329
Wawacai,1.0
Apricot Bao Mushroom (1),0.371
Paopaojiao (Jingpin),0.475
Jigu Mushroom (1),0.279
Yunnan Shengcai,0.564
Paopaojiao (Jingpin),0.567
Paopaojiao (Jingpin),0.369
Yunnan Shengcai,0.351
Millet Pepper,0.039
Caixin,0.326
Yellow Xincai (1),0.739
Hongshujian,0.402
Xixia Mushroom (1),0.245
Yunnan Shengcai,0.564
Hongshujian,0.528
Hongshujian,0.427
Hongshujian,0.427
Broccoli,0.429
Hongshujian,0.503
Sweet Chinese Cabbage,0.526
Yellow Xincai (1),0.752
Yunnan Shengcai,0.313
Paopaojiao (Jingpin),0.383
Yunnan Shengcai,0.476
Green Eggplant (1),0.704
Paopaojiao (Jingpin),0.462
Yunnan Lettuces,0.385
Paopaojiao (Jingpin),0.726
Caixin,0.501
Apricot Bao Mushroom (1),0.291
Yunnan Shengcai,0.363
Sweet Chinese Cabbage,0.426
Hongshujian,0.276
Paopaojiao (Jingpin),0.383
Eggplant (2),0.301
High Melon (1),0.271
Yunnan Shengcai,0.276
Hongshujian,0.377
Shanghaiqing,0.581
Yunnan Shengcai,0.163
Needle Mushroom (1),0.268
Foreign Garland Chrysanthemum ,0.194
Xixia Mushroom (1),0.295
Yunnan Lettuces,0.385
Paopaojiao (Jingpin),0.317
Xixia Mushroom (1),0.139
Yunnan Shengcai,0.263
Broccoli,0.351
Hongshujian,0.452
Broccoli,0.451
Yunnan Lettuces,0.686
Apricot Bao Mushroom (1),0.22
Hongshujian,0.854
Hongshujian,0.854
Apricot Bao Mushroom (1),0.461
Hongshujian,0.251
Millet Pepper,0.081
Green Hot Peppers,0.188
7 Colour Pepper (1),0.507
Red Hang Pepper,0.111
Broccoli,0.465
Millet Pepper,0.198
Paopaojiao (Jingpin),0.633
Broccoli,0.429
Yunnan Shengcai,0.702
Millet Pepper,0.05
Spinach,0.243
Eggplant (2),0.736
Yunnan Shengcai,0.175
Eggplant (2),0.636
Red Pepper (1),0.15
Green Eggplant (1),0.804
Eggplant (2),0.502
Green Hot Peppers,0.351
Green Eggplant (1),0.829
Green Hot Peppers,0.451
Broccoli,0.908
Hongshujian,0.226
Yunnan Shengcai,0.439
Hongshujian,0.251
Yunnan Shengcai,0.451
Millet Pepper,0.159
Red Pepper (1),0.2
Paopaojiao (Jingpin),0.435
Green Eggplant (1),0.427
Paopaojiao (Jingpin),0.884
Eggplant (2),0.736
Green Line Pepper,0.279
Paopaojiao (Jingpin),0.528
Broccoli,0.529
Paopaojiao (Jingpin),0.29
Sweet Chinese Cabbage,0.363
Broccoli,0.465
Jigu Mushroom (1),0.258
Millet Pepper,0.19
Xixia Mushroom (1),0.145
Wawacai,1.0
Eggplant (2),0.301
Needle Mushroom (1),0.485
Broccoli,0.336
Millet Pepper,0.035
Green Line Pepper,0.093
Green Line Pepper,0.143
Millet Pepper,0.143
Broccoli,0.537
Wawacai,1.0
Eggplant (2),0.318
Apricot Bao Mushroom (1),0.12
Green Line Pepper,0.365
Eggplant (2),0.602
Paopaojiao (Jingpin),0.488
Apricot Bao Mushroom (1),0.431
Broccoli,0.472
Broccoli,0.465
Broccoli,0.401
Green Eggplant (1),0.477
Eggplant (2),0.886
Green Line Pepper,0.236
Paopaojiao (Jingpin),0.501
Green Eggplant (1),0.678
Wawacai,1.0
Paopaojiao (Jingpin),0.369
Apricot Bao Mushroom (1),0.2
Broccoli,0.472
Millet Pepper,0.027
Xixia Mushroom (1),0.134
Paopaojiao (Jingpin),0.607
Paopaojiao (Jingpin),0.475
