customer_id,transaction_count,avg_transaction,total_value
265,19,403.1578947368421,7660
367,15,508.2,7623
304,17,447.94117647058823,7615
441,21,362.4761904761905,7612
138,15,507.0,7605
123,13,583.6923076923077,7588
250,14,540.9285714285714,7573
174,11,687.6363636363636,7564
125,13,580.9230769230769,7552
93,16,470.75,7532
342,11,680.6363636363636,7487
454,14,530.6428571428571,7429
134,18,412.0,7416
97,16,460.0625,7361
232,16,459.6875,7355
163,14,522.7857142857143,7319
303,15,487.3333333333333,7310
390,15,487.26666666666665,7309
224,11,663.9090909090909,7303
188,15,486.8666666666667,7303
333,14,519.4285714285714,7272
331,16,454.1875,7267
40,11,659.4545454545455,7254
167,20,361.5,7230
202,17,424.7647058823529,7221
33,18,401.1666666666667,7221
393,16,442.4375,7079
212,17,415.5882352941176,7065
278,16,440.625,7050
380,16,438.25,7012
449,13,539.0,7007
383,11,635.1818181818181,6987
11,17,409.7647058823529,6966
257,17,409.4117647058824,6960
129,14,496.7857142857143,6955
124,18,385.72222222222223,6943
426,17,407.6470588235294,6930
427,12,577.0,6924
35,13,532.0769230769231,6917
106,14,489.0,6846
214,14,487.42857142857144,6824
463,13,523.2307692307693,6802
487,15,452.93333333333334,6794
270,13,517.3846153846154,6726
292,15,448.26666666666665,6724
150,14,479.7857142857143,6717
246,10,671.0,6710
339,17,394.6470588235294,6709
264,11,609.9090909090909,6709
287,11,609.8181818181819,6708
385,11,609.1818181818181,6701
311,11,607.5454545454545,6683
415,14,477.2142857142857,6681
293,13,511.0769230769231,6644
492,14,472.35714285714283,6613
87,14,472.35714285714283,6613
175,17,387.5882352941176,6589
7,13,504.0769230769231,6553
320,14,467.5,6545
353,10,650.8,6508
219,16,404.625,6474
438,12,538.75,6465
461,12,538.6666666666666,6464
207,13,497.2307692307692,6464
273,10,646.2,6462
169,14,461.42857142857144,6460
365,14,457.57142857142856,6406
103,13,491.46153846153845,6389
389,13,490.2307692307692,6373
374,14,455.0,6370
302,12,529.25,6351
363,13,487.0769230769231,6332
459,13,486.3076923076923,6322
220,12,524.1666666666666,6290
152,12,522.5,6270
96,18,348.1111111111111,6266
81,12,521.1666666666666,6254
43,11,568.2727272727273,6251
70,14,445.0,6230
407,9,690.7777777777778,6217
46,13,476.46153846153845,6194
308,11,562.0909090909091,6183
170,12,513.8333333333334,6166
50,14,439.7142857142857,6156
371,14,435.35714285714283,6095
149,12,507.1666666666667,6086
262,17,357.7647058823529,6082
296,11,549.2727272727273,6042
391,12,501.1666666666667,6014
189,10,596.5,5965
72,11,541.1818181818181,5953
406,15,394.2,5913
130,11,536.3636363636364,5900
239,13,452.38461538461536,5881
248,10,587.0,5870
198,15,389.93333333333334,5849
322,11,530.4545454545455,5835
258,10,581.7,5817
227,11,525.5454545454545,5781
236,12,480.1666666666667,5762
200,12,478.4166666666667,5741
233,10,574.0,5740
272,9,627.6666666666666,5649
312,9,627.5555555555555,5648
413,9,624.5555555555555,5621
444,10,561.4,5614
132,10,561.3,5613
343,13,430.38461538461536,5595
378,13,429.38461538461536,5582
121,11,507.0,5577
478,12,464.4166666666667,5573
313,14,397.14285714285717,5560
100,9,615.0,5535
307,11,502.0,5522
213,13,424.6923076923077,5521
420,15,366.8,5502
395,11,499.72727272727275,5497
9,10,549.4,5494
460,9,610.3333333333334,5493
235,9,606.2222222222222,5456
352,9,603.6666666666666,5433
157,8,678.75,5430
187,11,492.90909090909093,5422
447,12,448.8333333333333,5386
482,12,447.5,5370
329,12,444.5,5334
108,10,529.2,5292
237,13,405.84615384615387,5276
8,10,524.7,5247
55,11,471.72727272727275,5189
481,12,431.0,5172
32,13,397.15384615384613,5163
141,9,571.5555555555555,5144
63,13,395.38461538461536,5140
215,9,569.5555555555555,5126
451,8,639.25,5114
382,14,364.2142857142857,5099
347,10,509.6,5096
399,9,566.1111111111111,5095
13,13,391.9230769230769,5095
78,11,462.0,5082
452,9,561.0,5049
36,10,503.3,5033
419,10,502.8,5028
178,14,358.5,5019
173,10,501.5,5015
450,7,712.0,4984
351,9,551.1111111111111,4960
355,7,707.1428571428571,4950
135,11,444.6363636363636,4891
158,11,444.54545454545456,4890
498,9,543.1111111111111,4888
295,8,604.875,4839
64,9,536.5555555555555,4829
485,7,688.8571428571429,4822
25,11,436.54545454545456,4802
51,11,435.27272727272725,4788
358,9,531.1111111111111,4780
348,9,530.8888888888889,4778
113,14,340.7142857142857,4770
457,10,474.4,4744
94,8,592.75,4742
282,10,472.3,4723
453,11,428.45454545454544,4713
279,12,391.5833333333333,4699
325,9,518.6666666666666,4668
66,10,461.3,4613
493,7,658.5714285714286,4610
151,9,510.55555555555554,4595
345,7,656.2857142857143,4594
104,9,509.55555555555554,4586
443,9,505.22222222222223,4547
359,11,412.0,4532
105,11,411.6363636363636,4528
136,12,376.5833333333333,4519
180,6,752.5,4515
425,13,345.15384615384613,4487
88,10,447.6,4476
60,8,559.375,4475
310,8,559.25,4474
430,7,638.5714285714286,4470
324,7,634.8571428571429,4444
222,10,438.8,4388
148,8,548.0,4384
381,9,487.0,4383
337,10,436.4,4364
375,8,543.625,4349
334,8,541.25,4330
182,8,536.625,4293
468,7,613.0,4291
26,12,356.3333333333333,4276
387,7,609.1428571428571,4264
142,9,472.77777777777777,4255
280,11,385.3636363636364,4239
231,13,325.7692307692308,4235
465,8,528.5,4228
316,8,524.375,4195
122,14,299.57142857142856,4194
28,8,522.25,4178
335,10,417.3,4173
261,7,588.7142857142857,4121
288,9,454.55555555555554,4091
388,7,579.1428571428571,4054
112,8,506.75,4054
101,7,576.1428571428571,4033
437,9,442.44444444444446,3982
176,8,491.625,3933
486,6,655.3333333333334,3932
115,10,392.9,3929
373,7,548.4285714285714,3839
18,8,479.875,3839
496,6,636.6666666666666,3820
260,4,953.25,3813
230,9,420.8888888888889,3788
238,7,537.5714285714286,3763
128,8,469.5,3756
401,5,751.0,3755
495,7,531.0,3717
400,7,526.2857142857143,3684
24,10,366.6,3666
98,10,365.6,3656
423,7,514.7142857142857,3603
392,9,399.0,3591
118,8,448.125,3585
59,7,511.7142857142857,3582
199,6,589.0,3534
377,8,440.375,3523
314,9,391.0,3519
266,5,697.6,3488
305,9,382.22222222222223,3440
410,10,343.0,3430
244,7,489.0,3423
464,4,850.0,3400
294,6,564.5,3387
221,11,307.3636363636364,3381
341,9,374.22222222222223,3368
414,6,558.6666666666666,3352
421,8,417.0,3336
379,7,473.7142857142857,3316
65,7,468.7142857142857,3281
497,6,544.0,3264
327,6,541.6666666666666,3250
429,8,404.875,3239
54,8,402.25,3218
318,5,617.6,3088
408,4,762.5,3050
68,7,435.42857142857144,3048
57,6,506.0,3036
117,7,432.85714285714283,3030
23,6,502.3333333333333,3014
53,8,366.625,2933
369,5,586.2,2931
336,5,575.0,2875
166,6,473.1666666666667,2839
34,6,465.1666666666667,2791
277,5,551.4,2757
402,7,392.2857142857143,2746
172,6,456.6666666666667,2740
362,6,450.8333333333333,2705
466,7,383.57142857142856,2685
191,6,445.1666666666667,2671
247,7,375.57142857142856,2629
52,4,653.0,2612
255,6,432.3333333333333,2594
20,7,368.2857142857143,2578
433,7,366.0,2562
229,4,633.25,2533
436,7,358.57142857142856,2510
109,4,622.75,2491
196,5,481.2,2406
225,6,395.8333333333333,2375
403,7,337.85714285714283,2365
80,6,390.1666666666667,2341
488,6,386.8333333333333,2321
480,5,463.0,2315
228,4,578.0,2312
428,6,382.8333333333333,2297
319,6,382.6666666666667,2296
114,3,763.6666666666666,2291
315,4,571.75,2287
357,6,369.3333333333333,2216
31,4,552.75,2211
243,6,368.1666666666667,2209
470,3,731.6666666666666,2195
14,4,541.25,2165
439,4,537.5,2150
137,4,529.5,2118
474,3,705.0,2115
458,3,694.3333333333334,2083
411,3,694.3333333333334,2083
446,4,519.75,2079
190,5,415.2,2076
147,4,508.0,2032
494,4,504.75,2019
3,5,400.6,2003
12,4,498.25,1993
285,3,655.0,1965
291,4,481.25,1925
1,4,478.0,1912
484,3,636.0,1908
204,4,473.25,1893
471,5,377.4,1887
321,5,374.0,1870
397,4,463.75,1855
252,3,610.3333333333334,1831
92,3,609.3333333333334,1828
44,4,455.75,1823
17,3,607.3333333333334,1822
479,3,602.3333333333334,1807
326,3,598.3333333333334,1795
107,3,588.6666666666666,1766
19,7,250.85714285714286,1756
361,4,421.5,1686
127,3,557.3333333333334,1672
116,5,334.4,1672
431,4,414.25,1657
159,3,546.3333333333334,1639
208,3,541.0,1623
77,5,324.2,1621
455,3,514.3333333333334,1543
71,4,380.25,1521
85,3,502.0,1506
354,2,743.0,1486
317,3,489.6666666666667,1469
119,3,482.6666666666667,1448
30,4,359.0,1436
490,4,353.0,1412
168,4,350.75,1403
79,3,460.0,1380
84,2,663.5,1327
412,4,330.0,1320
440,5,261.6,1308
249,3,411.6666666666667,1235
62,3,399.6666666666667,1199
263,3,390.0,1170
99,4,290.25,1161
162,3,385.3333333333333,1156
15,2,551.0,1102
4,3,347.0,1041
164,2,478.5,957
133,3,308.6666666666667,926
193,2,446.0,892
111,3,275.6666666666667,827
2,2,305.0,610
195,2,286.0,572
73,2,256.5,513
74,2,159.0,318
156,2,156.0,312
241,2,151.0,302
75,2,147.0,294
286,2,91.5,183
