txn_id,member_id,ticker,txn_date,txn_type,quantity,percentage_fee,txn_time
82,e4da3b,BTC,03-01-2017,BUY,5.159655392,0.3,2017-01-03T16:02:59.740Z
83,c9f0f8,BTC,03-01-2017,BUY,2.22039025,0.3,2017-01-03T17:44:37.347Z
85,eccbc8,BTC,04-01-2017,BUY,9.316518093,0.01,2017-01-04T01:41:45.196Z
86,c4ca42,BTC,04-01-2017,BUY,7.736987566,0.3,2017-01-04T01:54:24.431Z
87,d3d944,BTC,04-01-2017,BUY,9.147450149,0.3,2017-01-04T06:18:46.111Z
89,a87ff6,BTC,04-01-2017,BUY,5.686772069,0.0,2017-01-04T08:13:07.752Z
90,c20ad4,BTC,04-01-2017,BUY,1.315816748,0.3,2017-01-04T10:07:38.043Z
93,a87ff6,BTC,04-01-2017,BUY,8.137724997,0.3,2017-01-04T12:25:48.367Z
95,e4da3b,BTC,04-01-2017,BUY,2.927012834,0.02,2017-01-04T16:21:04.107Z
98,c51ce4,BTC,04-01-2017,BUY,7.328769521,0.3,2017-01-04T19:19:42.179Z
100,c20ad4,BTC,04-01-2017,BUY,8.782296318,0.2,2017-01-04T23:32:58.542Z
101,c20ad4,BTC,04-01-2017,BUY,8.742448545,0.3,2017-01-04T23:42:06.331Z
102,c9f0f8,BTC,05-01-2017,BUY,2.61926013,0.3,2017-01-05T00:40:34.994Z
103,c51ce4,BTC,05-01-2017,BUY,1.510491952,0.3,2017-01-05T01:29:23.674Z
105,167909,BTC,05-01-2017,BUY,6.413918106,0.3,2017-01-05T02:56:10.921Z
106,eccbc8,BTC,05-01-2017,BUY,9.808394015,0.25,2017-01-05T06:53:59.499Z
107,c4ca42,BTC,05-01-2017,BUY,1.032755811,0.3,2017-01-05T07:14:24.699Z
108,a87ff6,BTC,05-01-2017,BUY,9.49645508,0.3,2017-01-05T08:48:48.061Z
109,c51ce4,BTC,05-01-2017,SELL,4.718667989,0.3,2017-01-05T13:40:23.528Z
110,d3d944,BTC,05-01-2017,BUY,7.683720954,0.3,2017-01-05T14:18:26.996Z
112,c9f0f8,BTC,05-01-2017,BUY,4.888776093,0.3,2017-01-05T20:25:27.621Z
113,a87ff6,BTC,06-01-2017,BUY,5.529125393,0.3,2017-01-06T00:30:19.958Z
114,c20ad4,BTC,06-01-2017,BUY,8.524945201,0.11,2017-01-06T01:42:12.202Z
115,d3d944,BTC,06-01-2017,BUY,1.748322551,0.3,2017-01-06T01:49:21.126Z
116,c20ad4,BTC,06-01-2017,BUY,6.991081482,0.3,2017-01-06T05:39:55.151Z
119,c20ad4,BTC,06-01-2017,BUY,6.590810059,0.3,2017-01-06T10:37:24.899Z
120,45c48c,BTC,06-01-2017,BUY,7.658162014,0.3,2017-01-06T13:59:19.572Z
121,c20ad4,BTC,06-01-2017,BUY,2.566599204,0.3,2017-01-06T17:43:20.937Z
123,c20ad4,BTC,06-01-2017,SELL,6.994794002,0.3,2017-01-06T19:06:23.905Z
125,eccbc8,BTC,07-01-2017,BUY,0.328722011,0.3,2017-01-07T00:38:45.003Z
126,eccbc8,BTC,07-01-2017,BUY,2.394607993,0.3,2017-01-07T01:02:11.353Z
127,c20ad4,BTC,07-01-2017,BUY,5.067220196,0.3,2017-01-07T01:33:29.620Z
129,c51ce4,BTC,07-01-2017,BUY,9.909703431,0.26,2017-01-07T04:24:10.177Z
130,eccbc8,BTC,07-01-2017,BUY,9.29903604,0.3,2017-01-07T04:45:17.270Z
135,c4ca42,BTC,07-01-2017,SELL,8.152112423,0.3,2017-01-07T19:51:07.812Z
137,c20ad4,BTC,07-01-2017,BUY,4.560200717,0.3,2017-01-07T21:45:56.144Z
138,8f14e4,BTC,07-01-2017,SELL,5.961701501,0.3,2017-01-07T22:30:08.960Z
146,a87ff6,BTC,08-01-2017,BUY,0.736037551,0.08,2017-01-08T18:24:36.051Z
148,d3d944,BTC,08-01-2017,SELL,8.742989481,0.3,2017-01-08T22:00:51.472Z
149,a87ff6,BTC,09-01-2017,BUY,4.507221468,0.0,2017-01-09T01:41:19.114Z
150,c4ca42,BTC,09-01-2017,BUY,8.691715683,0.3,2017-01-09T02:28:54.541Z
152,6512bd,BTC,09-01-2017,BUY,4.333978386,0.3,2017-01-09T13:06:32.430Z
156,e4da3b,BTC,09-01-2017,SELL,2.993157957,0.23,2017-01-09T22:51:48.830Z
158,e4da3b,BTC,10-01-2017,BUY,6.034007635,0.3,2017-01-10T02:16:59.188Z
161,c51ce4,BTC,10-01-2017,BUY,4.721709977,0.09,2017-01-10T07:46:19.018Z
163,c9f0f8,BTC,10-01-2017,BUY,5.640088232,0.3,2017-01-10T13:13:07.314Z
165,eccbc8,BTC,10-01-2017,BUY,6.893252223,0.28,2017-01-10T14:34:51.931Z
168,e4da3b,BTC,10-01-2017,SELL,4.204410122,0.3,2017-01-10T21:00:50.633Z
169,8f14e4,BTC,10-01-2017,BUY,7.359569057,0.02,2017-01-10T23:53:48.605Z
172,eccbc8,BTC,11-01-2017,BUY,0.589458268,0.3,2017-01-11T04:54:52.416Z
173,6512bd,BTC,11-01-2017,BUY,4.163258215,0.09,2017-01-11T07:08:28.934Z
175,aab323,BTC,11-01-2017,BUY,3.019165118,0.3,2017-01-11T14:57:35.984Z
179,c9f0f8,BTC,11-01-2017,SELL,9.646489233,0.3,2017-01-11T22:38:53.674Z
180,c20ad4,BTC,12-01-2017,BUY,9.589518817,0.3,2017-01-12T00:09:37.016Z
181,c51ce4,BTC,12-01-2017,BUY,6.413569279,0.21,2017-01-12T04:05:16.389Z
184,a87ff6,BTC,12-01-2017,BUY,5.291091629,0.3,2017-01-12T05:27:14.013Z
185,c9f0f8,BTC,12-01-2017,BUY,8.988048973,0.3,2017-01-12T09:23:26.553Z
189,c51ce4,BTC,12-01-2017,BUY,8.052187197,0.3,2017-01-12T15:00:37.140Z
190,eccbc8,BTC,12-01-2017,BUY,7.308723334,0.3,2017-01-12T17:07:59.595Z
191,c20ad4,BTC,12-01-2017,BUY,3.826909363,0.3,2017-01-12T17:26:38.396Z
192,167909,BTC,12-01-2017,BUY,0.869539982,0.3,2017-01-12T18:23:21.316Z
195,c9f0f8,BTC,12-01-2017,BUY,7.449479697,0.3,2017-01-12T20:25:28.432Z
196,c20ad4,BTC,12-01-2017,BUY,5.246779176,0.3,2017-01-12T20:28:30.938Z
197,45c48c,BTC,12-01-2017,SELL,6.879623184,0.3,2017-01-12T20:57:09.159Z
203,d3d944,BTC,13-01-2017,BUY,6.317224305,0.3,2017-01-13T01:28:33.555Z
204,c4ca42,BTC,13-01-2017,BUY,3.146921334,0.3,2017-01-13T01:52:44.243Z
205,c81e72,BTC,13-01-2017,SELL,7.246759355,0.3,2017-01-13T02:13:28.032Z
209,a87ff6,BTC,13-01-2017,SELL,4.636264711,0.3,2017-01-13T06:22:29.427Z
210,8f14e4,BTC,13-01-2017,BUY,3.810775206,0.3,2017-01-13T07:08:23.156Z
211,167909,BTC,13-01-2017,SELL,3.301942978,0.3,2017-01-13T07:12:25.353Z
215,e4da3b,BTC,13-01-2017,SELL,6.162022162,0.3,2017-01-13T13:01:18.628Z
216,c9f0f8,BTC,13-01-2017,SELL,7.552700346,0.03,2017-01-13T13:38:50.721Z
217,c20ad4,BTC,13-01-2017,BUY,7.454103196,0.03,2017-01-13T14:48:13.391Z
219,c51ce4,BTC,14-01-2017,SELL,1.983480453,0.3,2017-01-14T01:48:45.083Z
220,aab323,BTC,14-01-2017,BUY,1.075391384,0.3,2017-01-14T03:35:02.414Z
221,a87ff6,BTC,14-01-2017,BUY,1.897913166,0.3,2017-01-14T03:40:24.876Z
222,aab323,BTC,14-01-2017,BUY,3.417044162,0.3,2017-01-14T04:06:12.118Z
224,d3d944,BTC,14-01-2017,SELL,1.303144203,0.3,2017-01-14T09:06:12.788Z
225,e4da3b,BTC,14-01-2017,BUY,2.108299027,0.09,2017-01-14T10:14:02.169Z
226,d3d944,BTC,14-01-2017,BUY,1.546251196,0.3,2017-01-14T12:53:02.916Z
227,c20ad4,BTC,14-01-2017,SELL,0.382333792,0.07,2017-01-14T13:34:14.930Z
228,c20ad4,BTC,14-01-2017,BUY,3.519791301,0.3,2017-01-14T13:34:29.797Z
229,45c48c,BTC,14-01-2017,BUY,7.186157457,0.3,2017-01-14T15:48:18.990Z
231,167909,BTC,14-01-2017,BUY,3.918925893,0.3,2017-01-14T17:08:53.570Z
233,c81e72,BTC,14-01-2017,SELL,6.665718671,0.11,2017-01-14T21:55:57.782Z
235,167909,BTC,15-01-2017,BUY,1.208007039,0.3,2017-01-15T01:16:21.329Z
236,c9f0f8,BTC,15-01-2017,BUY,5.050238836,0.3,2017-01-15T06:00:40.738Z
237,c9f0f8,BTC,15-01-2017,BUY,2.062699503,0.19,2017-01-15T08:04:45.906Z
238,aab323,BTC,15-01-2017,BUY,0.097142343,0.3,2017-01-15T10:36:59.738Z
240,c81e72,BTC,15-01-2017,BUY,6.374597765,0.2,2017-01-15T14:21:33.829Z
241,a87ff6,BTC,15-01-2017,BUY,0.980602936,0.3,2017-01-15T15:16:35.397Z
242,eccbc8,BTC,15-01-2017,BUY,5.757628276,0.17,2017-01-15T18:25:06.100Z
247,aab323,BTC,15-01-2017,BUY,6.936108638,0.22,2017-01-15T22:44:30.588Z
248,c51ce4,BTC,16-01-2017,BUY,1.703682285,0.3,2017-01-16T00:31:09.894Z
249,c51ce4,BTC,16-01-2017,BUY,9.450725644,0.16,2017-01-16T01:29:58.836Z
251,aab323,BTC,16-01-2017,BUY,5.39927505,0.12,2017-01-16T04:28:57.721Z
252,d3d944,BTC,16-01-2017,SELL,7.831904367,0.3,2017-01-16T07:22:39.212Z
257,a87ff6,BTC,16-01-2017,BUY,1.874911944,0.26,2017-01-16T12:40:01.797Z
258,45c48c,BTC,16-01-2017,BUY,6.103714166,0.2,2017-01-16T13:05:55.063Z
261,6512bd,BTC,16-01-2017,BUY,2.758207907,0.3,2017-01-16T17:28:09.077Z
263,d3d944,BTC,16-01-2017,BUY,4.549590584,0.3,2017-01-16T21:57:50.434Z
265,aab323,BTC,16-01-2017,BUY,1.139605542,0.3,2017-01-16T23:57:45.593Z
266,45c48c,BTC,17-01-2017,BUY,8.073438601,0.3,2017-01-17T00:14:18.618Z
269,e4da3b,BTC,17-01-2017,BUY,5.85904889,0.3,2017-01-17T01:45:31.405Z
270,eccbc8,BTC,17-01-2017,BUY,3.522104077,0.11,2017-01-17T02:52:36.548Z
271,c51ce4,BTC,17-01-2017,SELL,5.491926858,0.25,2017-01-17T03:35:28.278Z
274,eccbc8,BTC,17-01-2017,BUY,2.391752291,0.3,2017-01-17T21:37:06.521Z
275,a87ff6,BTC,17-01-2017,BUY,2.945331173,0.15,2017-01-17T22:22:00.951Z
278,45c48c,BTC,18-01-2017,BUY,2.261531286,0.3,2017-01-18T04:57:48.290Z
283,d3d944,BTC,18-01-2017,BUY,4.526181032,0.3,2017-01-18T16:07:15.432Z
284,aab323,BTC,18-01-2017,BUY,7.126311402,0.3,2017-01-18T16:51:15.812Z
285,c9f0f8,BTC,18-01-2017,BUY,5.825792559,0.09,2017-01-18T18:06:09.995Z
286,aab323,BTC,18-01-2017,BUY,8.462868827,0.3,2017-01-18T18:36:50.480Z
287,8f14e4,BTC,18-01-2017,BUY,9.247193313,0.3,2017-01-18T23:07:41.919Z
291,a87ff6,BTC,19-01-2017,SELL,8.661168697,0.1,2017-01-19T04:26:00.137Z
292,aab323,BTC,19-01-2017,BUY,7.028073075,0.03,2017-01-19T07:04:52.198Z
293,aab323,BTC,19-01-2017,BUY,5.671788121,0.3,2017-01-19T08:31:53.736Z
294,8f14e4,BTC,19-01-2017,BUY,9.204966113,0.3,2017-01-19T11:22:15.803Z
295,167909,BTC,19-01-2017,BUY,8.965401987,0.17,2017-01-19T14:20:29.174Z
299,e4da3b,BTC,19-01-2017,BUY,2.781538274,0.3,2017-01-19T23:29:17.229Z
300,e4da3b,BTC,20-01-2017,BUY,1.253635525,0.3,2017-01-20T01:14:32.533Z
302,6512bd,BTC,20-01-2017,BUY,4.80090116,0.3,2017-01-20T02:52:04.154Z
304,c20ad4,BTC,20-01-2017,BUY,9.47612366,0.07,2017-01-20T05:51:58.238Z
306,a87ff6,BTC,20-01-2017,BUY,8.265653299,0.3,2017-01-20T08:45:36.773Z
308,d3d944,BTC,20-01-2017,BUY,1.480007494,0.3,2017-01-20T11:50:50.678Z
309,c4ca42,BTC,20-01-2017,BUY,1.629963743,0.27,2017-01-20T13:33:48.359Z
310,c9f0f8,BTC,20-01-2017,BUY,0.923155801,0.3,2017-01-20T14:34:17.197Z
311,167909,BTC,20-01-2017,BUY,5.121068244,0.3,2017-01-20T16:24:51.080Z
314,a87ff6,BTC,20-01-2017,SELL,3.670674773,0.3,2017-01-20T19:28:24.255Z
315,c9f0f8,BTC,20-01-2017,BUY,7.045248653,0.3,2017-01-20T19:38:43.340Z
318,e4da3b,BTC,21-01-2017,BUY,1.256019573,0.3,2017-01-21T05:26:39.999Z
321,45c48c,BTC,21-01-2017,BUY,9.950700513,0.3,2017-01-21T07:45:29.288Z
322,a87ff6,BTC,21-01-2017,BUY,7.66777745,0.3,2017-01-21T10:12:20.233Z
324,45c48c,BTC,21-01-2017,BUY,3.1994302,0.1,2017-01-21T11:51:53.804Z
326,6512bd,BTC,21-01-2017,BUY,9.807086079,0.3,2017-01-21T23:00:46.709Z
328,6512bd,BTC,22-01-2017,BUY,0.249232636,0.26,2017-01-22T02:51:59.480Z
329,c20ad4,BTC,22-01-2017,BUY,5.142430115,0.3,2017-01-22T04:00:58.993Z
330,c81e72,BTC,22-01-2017,BUY,9.577615152,0.3,2017-01-22T04:24:30.045Z
331,c4ca42,BTC,22-01-2017,BUY,7.87134334,0.04,2017-01-22T07:31:50.883Z
333,e4da3b,BTC,22-01-2017,BUY,2.142552775,0.3,2017-01-22T12:29:28.562Z
334,eccbc8,BTC,22-01-2017,BUY,3.848622228,0.26,2017-01-22T13:46:04.500Z
336,c20ad4,BTC,22-01-2017,BUY,3.21526497,0.3,2017-01-22T16:09:54.762Z
338,aab323,BTC,22-01-2017,SELL,9.586457233,0.3,2017-01-22T16:45:46.270Z
341,167909,BTC,22-01-2017,BUY,3.905618482,0.06,2017-01-22T19:52:09.018Z
342,aab323,BTC,22-01-2017,BUY,4.831727172,0.3,2017-01-22T22:45:29.555Z
343,e4da3b,BTC,22-01-2017,BUY,0.661136397,0.3,2017-01-22T22:52:38.608Z
344,c4ca42,BTC,23-01-2017,BUY,0.456452607,0.3,2017-01-23T00:07:13.883Z
345,c20ad4,BTC,23-01-2017,BUY,5.283133966,0.11,2017-01-23T00:22:47.561Z
346,e4da3b,BTC,23-01-2017,BUY,6.61013856,0.3,2017-01-23T02:03:27.041Z
347,d3d944,BTC,23-01-2017,BUY,5.787081569,0.3,2017-01-23T02:30:02.193Z
348,aab323,BTC,23-01-2017,BUY,7.824053624,0.14,2017-01-23T07:06:53.951Z
351,6512bd,BTC,23-01-2017,BUY,3.444190453,0.3,2017-01-23T10:18:15.308Z
354,aab323,BTC,23-01-2017,BUY,8.947747996,0.3,2017-01-23T12:53:05.956Z
355,c51ce4,BTC,23-01-2017,BUY,2.94516508,0.3,2017-01-23T13:11:16.667Z
356,6512bd,BTC,23-01-2017,BUY,6.782149789,0.3,2017-01-23T14:18:34.833Z
357,c9f0f8,BTC,23-01-2017,BUY,5.012744962,0.3,2017-01-23T15:20:24.721Z
362,aab323,BTC,23-01-2017,BUY,5.742994966,0.3,2017-01-23T20:50:50.789Z
363,e4da3b,BTC,23-01-2017,BUY,6.19280269,0.3,2017-01-23T23:56:29.421Z
365,aab323,BTC,24-01-2017,BUY,1.709915943,0.3,2017-01-24T02:58:44.084Z
367,eccbc8,BTC,24-01-2017,BUY,4.322870781,0.25,2017-01-24T04:34:34.347Z
370,c81e72,BTC,24-01-2017,BUY,7.506643427,0.3,2017-01-24T09:18:07.399Z
372,8f14e4,BTC,24-01-2017,BUY,2.410616053,0.3,2017-01-24T14:30:37.610Z
373,e4da3b,BTC,24-01-2017,BUY,0.924299213,0.23,2017-01-24T15:00:48.105Z
375,167909,BTC,24-01-2017,BUY,3.198358682,0.12,2017-01-24T18:46:28.740Z
377,167909,BTC,24-01-2017,BUY,1.971344807,0.21,2017-01-24T19:55:14.065Z
378,8f14e4,BTC,24-01-2017,BUY,8.555143302,0.3,2017-01-24T20:22:34.954Z
380,8f14e4,BTC,25-01-2017,SELL,4.984460244,0.08,2017-01-25T05:48:40.955Z
382,eccbc8,BTC,25-01-2017,BUY,0.247830579,0.3,2017-01-25T08:30:46.286Z
383,c9f0f8,BTC,25-01-2017,BUY,7.114274436,0.3,2017-01-25T08:49:37.407Z
384,aab323,BTC,25-01-2017,BUY,8.464430736,0.3,2017-01-25T09:23:35.713Z
386,c51ce4,BTC,25-01-2017,BUY,0.323795069,0.3,2017-01-25T10:59:57.455Z
387,6512bd,BTC,25-01-2017,BUY,6.833701752,0.3,2017-01-25T12:21:21.728Z
390,6512bd,BTC,25-01-2017,BUY,1.640506745,0.3,2017-01-25T18:45:41.652Z
391,8f14e4,BTC,25-01-2017,SELL,1.375264473,0.3,2017-01-25T19:05:29.681Z
395,c4ca42,BTC,25-01-2017,BUY,3.010136096,0.3,2017-01-25T22:43:29.403Z
396,6512bd,BTC,25-01-2017,BUY,9.361319066,0.22,2017-01-25T23:54:05.508Z
398,c20ad4,BTC,26-01-2017,BUY,5.080408579,0.3,2017-01-26T02:01:39.349Z
399,c20ad4,BTC,26-01-2017,BUY,7.552062614,0.03,2017-01-26T08:26:28.631Z
402,6512bd,BTC,26-01-2017,BUY,5.137603159,0.3,2017-01-26T17:27:42.893Z
403,d3d944,BTC,26-01-2017,BUY,2.968477833,0.3,2017-01-26T19:35:50.608Z
405,d3d944,BTC,27-01-2017,BUY,9.519575308,0.3,2017-01-27T01:42:53.428Z
409,c81e72,BTC,27-01-2017,BUY,7.809981345,0.3,2017-01-27T05:34:19.946Z
410,c20ad4,BTC,27-01-2017,BUY,1.292029577,0.3,2017-01-27T06:00:45.768Z
412,d3d944,BTC,27-01-2017,BUY,1.611214087,0.3,2017-01-27T08:43:31.494Z
413,c20ad4,BTC,27-01-2017,SELL,3.742562873,0.3,2017-01-27T08:57:10.333Z
418,c9f0f8,BTC,28-01-2017,BUY,5.039609737,0.14,2017-01-28T03:32:47.256Z
421,8f14e4,BTC,28-01-2017,BUY,9.68335488,0.3,2017-01-28T06:54:23.600Z
423,e4da3b,BTC,28-01-2017,BUY,0.553174856,0.3,2017-01-28T08:59:55.500Z
424,c4ca42,BTC,28-01-2017,SELL,9.306970912,0.3,2017-01-28T16:39:03.349Z
427,c4ca42,BTC,28-01-2017,BUY,0.793935723,0.3,2017-01-28T19:13:19.295Z
430,aab323,BTC,28-01-2017,SELL,7.706764405,0.3,2017-01-28T20:46:46.676Z
432,c81e72,BTC,29-01-2017,BUY,7.812423398,0.3,2017-01-29T03:04:20.878Z
434,45c48c,BTC,29-01-2017,BUY,4.607131693,0.3,2017-01-29T05:24:48.733Z
436,a87ff6,BTC,29-01-2017,BUY,1.174234747,0.3,2017-01-29T08:50:17.174Z
437,6512bd,BTC,29-01-2017,BUY,2.12711027,0.17,2017-01-29T09:55:50.993Z
438,c9f0f8,BTC,29-01-2017,BUY,9.974287596,0.3,2017-01-29T10:30:27.818Z
440,a87ff6,BTC,29-01-2017,BUY,4.715540057,0.3,2017-01-29T11:38:37.694Z
444,c4ca42,BTC,30-01-2017,BUY,6.914599958,0.3,2017-01-30T01:12:29.205Z
445,a87ff6,BTC,30-01-2017,BUY,3.597337228,0.3,2017-01-30T01:47:37.747Z
447,a87ff6,BTC,30-01-2017,BUY,1.620429012,0.3,2017-01-30T05:35:31.525Z
448,c9f0f8,BTC,30-01-2017,BUY,7.767032623,0.3,2017-01-30T06:48:38.472Z
449,c9f0f8,BTC,30-01-2017,BUY,9.842392686,0.3,2017-01-30T08:58:04.415Z
450,c81e72,BTC,30-01-2017,SELL,9.446868783,0.3,2017-01-30T10:49:11.301Z
452,eccbc8,BTC,30-01-2017,BUY,8.218408985,0.3,2017-01-30T12:05:42.240Z
455,a87ff6,BTC,31-01-2017,BUY,3.990870251,0.3,2017-01-31T07:02:32.166Z
459,e4da3b,BTC,31-01-2017,BUY,0.021277013,0.3,2017-01-31T13:41:59.459Z
460,e4da3b,BTC,31-01-2017,BUY,9.296388361,0.11,2017-01-31T13:52:12.874Z
463,aab323,BTC,31-01-2017,BUY,2.09614228,0.3,2017-01-31T16:40:29.415Z
464,aab323,BTC,31-01-2017,SELL,5.959091995,0.3,2017-01-31T23:52:16.690Z
466,a87ff6,BTC,01-02-2017,BUY,4.553482369,0.3,2017-02-01T02:25:12.486Z
468,8f14e4,BTC,01-02-2017,BUY,0.484235972,0.3,2017-02-01T03:17:36.712Z
469,c9f0f8,BTC,01-02-2017,BUY,8.571594239,0.23,2017-02-01T05:23:57.909Z
471,c9f0f8,BTC,01-02-2017,BUY,1.326283099,0.3,2017-02-01T06:08:46.475Z
473,6512bd,BTC,01-02-2017,BUY,6.584493919,0.3,2017-02-01T14:35:23.501Z
474,c81e72,BTC,01-02-2017,BUY,8.44057553,0.3,2017-02-01T20:56:19.533Z
475,aab323,BTC,01-02-2017,BUY,2.792610728,0.3,2017-02-01T21:42:46.363Z
477,45c48c,BTC,02-02-2017,BUY,4.840141369,0.3,2017-02-02T01:36:29.616Z
482,c20ad4,BTC,02-02-2017,BUY,0.915128036,0.12,2017-02-02T07:44:17.260Z
485,c4ca42,BTC,02-02-2017,BUY,9.204357543,0.3,2017-02-02T10:05:15.780Z
486,c51ce4,BTC,02-02-2017,BUY,9.667665771,0.3,2017-02-02T10:52:43.888Z
487,e4da3b,BTC,02-02-2017,BUY,3.525853881,0.3,2017-02-02T13:36:14.719Z
492,c9f0f8,BTC,03-02-2017,BUY,8.250898078,0.3,2017-02-03T02:55:15.145Z
494,eccbc8,BTC,03-02-2017,BUY,2.635108135,0.3,2017-02-03T08:00:46.517Z
495,45c48c,BTC,03-02-2017,BUY,2.639038615,0.3,2017-02-03T08:41:06.513Z
496,c81e72,BTC,03-02-2017,BUY,9.538538311,0.1,2017-02-03T10:56:07.934Z
497,8f14e4,BTC,03-02-2017,BUY,1.735956232,0.3,2017-02-03T16:52:01.939Z
502,e4da3b,BTC,03-02-2017,BUY,7.237461853,0.3,2017-02-03T21:48:48.666Z
503,8f14e4,BTC,03-02-2017,BUY,7.976322331,0.3,2017-02-03T23:41:09.072Z
504,c51ce4,BTC,04-02-2017,BUY,3.950934726,0.3,2017-02-04T00:34:25.077Z
506,a87ff6,BTC,04-02-2017,BUY,0.019460897,0.3,2017-02-04T07:07:05.999Z
507,45c48c,BTC,04-02-2017,BUY,3.014679348,0.3,2017-02-04T08:33:13.045Z
510,d3d944,BTC,04-02-2017,BUY,0.073222431,0.3,2017-02-04T20:13:33.739Z
513,c9f0f8,BTC,04-02-2017,BUY,5.327929616,0.05,2017-02-04T21:39:47.474Z
515,d3d944,BTC,05-02-2017,SELL,1.709749131,0.3,2017-02-05T04:59:58.472Z
516,c9f0f8,BTC,05-02-2017,BUY,5.128577201,0.02,2017-02-05T07:09:01.203Z
517,c9f0f8,BTC,05-02-2017,BUY,8.45339926,0.3,2017-02-05T07:32:21.943Z
519,aab323,BTC,05-02-2017,BUY,2.967325204,0.3,2017-02-05T09:21:02.954Z
521,c4ca42,BTC,05-02-2017,BUY,7.492904392,0.3,2017-02-05T16:55:47.248Z
