item_name,avg_selling_price
Wuhu Green Pepper (1),7.378117092000858
Xiangtianhongcaitai (Bag),3.724390243902439
Xianzongye,18.400000000000002
Xianzongye (Bag) (1),5.9
Xianzongye (Bag) (2),4.9
Xianzongye (Bag) (3),6.763043478260869
Xiaoqingcai (1),5.893957016434892
Xiaoqingcai (2),1.5358108108108108
Xiaoqingcai (Bag),3.011754558896008
Xiaozhoupi,11.716692667706708
Xiaozhoupi (Bag),3.3977597528003085
Xiuzhen Mushroom,15.333333333333334
Xixia Black Mushroom (1),21.473910756552996
Xixia Black Mushroom (2),19.263636363636365
Xixia Mushroom (1),17.98501547075291
Xixia Xianggu Mushroom (2),21.786177565124934
Xixia Xianggu Mushroom (Bag),4.87730870712401
Yellow Baicai (1),7.48494382022472
Yellow Xincai (1),6.077299209321681
Youcaitai,9.64
Yuganjiao,12.677685950413224
Yunnan Leaf Lettuce (Bag),4.03411937267291
Yunnan Lettuce (Bag),4.467895030709101
Yunnan Lettuces,6.892826133677198
Yunnan Shengcai,8.209421616065384
Yuxingcao ,11.728301886792453
Yuxingcao (Bag),4.66
Zhijiang Qinggengsanhua,8.065955210607163
Zhijiang Red Bolt,6.389383875400824
Zhijiang Red Bolt (Bag),2.177635782747604
Zhimaxiancai,6.0
Zhuyecai,5.474428518472755
Zhuyecai (Bag),2.115506035283194
