week_date,sales,transactions
10/8/20,45523,220
10/8/20,29727,171
10/8/20,285329,1380
10/8/20,264650,1386
3/8/20,295484,1394
3/8/20,16466,133
3/8/20,947836,26359
3/8/20,5223071,92243
3/8/20,6674,44
3/8/20,362902,1872
3/8/20,948460,34891
3/8/20,635394,17884
3/8/20,33415,199
3/8/20,250222,1319
3/8/20,16094778,521224
3/8/20,29049,146
3/8/20,2172605,40287
3/8/20,17516,111
3/8/20,32554,168
3/8/20,3293,26
3/8/20,948888,22515
3/8/20,2112377,42925
3/8/20,2336040,56122
3/8/20,122312,735
3/8/20,1710355,44879
3/8/20,5673928,101765
3/8/20,439650,2421
3/8/20,1045069,27023
3/8/20,878770,25783
3/8/20,426024,10778
3/8/20,680214,13944
3/8/20,27496,158
3/8/20,193590,930
3/8/20,240829,1296
3/8/20,20774,119
3/8/20,2197660,38907
3/8/20,8500159,139847
3/8/20,27724,182
27/7/20,242451,1311
27/7/20,377502,1963
27/7/20,16227305,521424
27/7/20,2155696,38680
27/7/20,943932,26087
27/7/20,5667340,102024
27/7/20,24976,196
27/7/20,2078352,42647
27/7/20,4561,27
27/7/20,5238225,92982
27/7/20,902697,26001
27/7/20,625767,17721
27/7/20,8519454,140669
27/7/20,25411,165
27/7/20,125858,738
27/7/20,192040,944
27/7/20,259629,1377
27/7/20,1717261,45258
27/7/20,958758,35404
27/7/20,28001,189
27/7/20,909661,21426
27/7/20,28437,156
27/7/20,2343529,56812
27/7/20,9224,55
27/7/20,21978,158
27/7/20,34815,167
27/7/20,2196724,40834
27/7/20,45882,294
27/7/20,17763,122
27/7/20,276061,1349
27/7/20,406531,10703
27/7/20,1013638,26599
27/7/20,621920,12803
27/7/20,451063,2586
20/7/20,22310,141
20/7/20,8660088,142889
20/7/20,1683788,44630
20/7/20,4941,37
20/7/20,417392,10989
20/7/20,5427473,94991
20/7/20,2221054,39769
20/7/20,25173,157
20/7/20,16421119,527246
20/7/20,972506,26523
20/7/20,22746,177
20/7/20,981310,35843
20/7/20,19444,127
20/7/20,255741,1362
20/7/20,7925,53
20/7/20,385373,2011
20/7/20,28481,182
20/7/20,881857,20817
20/7/20,574668,11654
20/7/20,5766441,103326
20/7/20,455358,2592
20/7/20,315154,1495
20/7/20,630502,17848
20/7/20,250899,1355
20/7/20,126503,777
20/7/20,28783,161
20/7/20,2379963,57357
20/7/20,1037553,26934
20/7/20,45739,264
20/7/20,901385,25856
20/7/20,2218243,41248
20/7/20,31243,160
20/7/20,203880,996
20/7/20,2104602,43247
13/7/20,30885,167
13/7/20,7170,36
13/7/20,869174,25914
13/7/20,13601,85
13/7/20,5634892,97479
13/7/20,2271620,41992
13/7/20,45008,209
13/7/20,31710,147
13/7/20,427409,2416
13/7/20,927603,35213
13/7/20,973799,26155
13/7/20,26225,171
13/7/20,287330,1369
13/7/20,548145,11018
13/7/20,2327655,40791
13/7/20,2428237,58471
13/7/20,203721,983
13/7/20,8718318,144613
13/7/20,5907907,105887
13/7/20,396651,2000
13/7/20,1681668,44846
13/7/20,17859,145
13/7/20,255907,1353
13/7/20,2220667,44366
13/7/20,415888,10859
13/7/20,3383,22
13/7/20,27048,156
13/7/20,18908,120
13/7/20,854972,20108
13/7/20,127595,751
13/7/20,246000,1324
13/7/20,16383497,525638
13/7/20,620006,17696
13/7/20,970777,26626
6/7/20,275749,1326
6/7/20,668776,13120
6/7/20,1018034,26655
6/7/20,256827,1372
6/7/20,1710069,45285
6/7/20,6004542,107017
6/7/20,25697,153
6/7/20,258887,1332
6/7/20,2195016,44601
6/7/20,924200,21634
6/7/20,15166,108
6/7/20,426852,11223
6/7/20,183866,892
6/7/20,17021169,539669
6/7/20,5923390,97641
6/7/20,380313,1878
6/7/20,8883923,144909
6/7/20,2271038,42071
6/7/20,22390,140
6/7/20,31099,169
6/7/20,2469632,58791
6/7/20,435958,2402
6/7/20,637462,18089
6/7/20,26208,142
6/7/20,14544,115
6/7/20,2436037,42080
6/7/20,30361,160
6/7/20,943414,35274
6/7/20,3558,21
6/7/20,895842,26006
6/7/20,1047479,27329
6/7/20,8047,43
6/7/20,122755,683
6/7/20,43697,192
29/6/20,248186,1345
29/6/20,339336,1778
29/6/20,16297956,533207
29/6/20,32127,217
29/6/20,32575,139
29/6/20,2069075,42982
29/6/20,3518,22
29/6/20,957978,26077
29/6/20,5126468,90522
29/6/20,2312994,57014
29/6/20,2353412,40942
29/6/20,26020,144
29/6/20,645361,18211
29/6/20,868246,25718
29/6/20,159886,796
29/6/20,5765543,104304
29/6/20,1693971,44965
29/6/20,27727,149
29/6/20,20922,135
29/6/20,16411,144
29/6/20,446915,11443
29/6/20,20018,126
29/6/20,925527,34795
29/6/20,274806,1309
29/6/20,225451,1177
29/6/20,611536,12518
29/6/20,5279,33
29/6/20,2254122,41532
29/6/20,112466,668
29/6/20,393315,2154
29/6/20,865037,21153
29/6/20,20393,129
29/6/20,972030,26140
29/6/20,8130575,138168
22/6/20,25281,164
22/6/20,279258,1339
22/6/20,564571,10964
22/6/20,1006442,26205
22/6/20,5827,40
22/6/20,2243252,40904
22/6/20,5870994,103084
22/6/20,434808,10864
22/6/20,23548,132
22/6/20,251028,1313
22/6/20,2353,17
22/6/20,2114099,42233
22/6/20,31912,171
22/6/20,8454874,139327
22/6/20,17475466,556769
22/6/20,5338752,92530
22/6/20,125293,717
22/6/20,889002,24706
22/6/20,22528,135
22/6/20,252312,1367
22/6/20,372372,1897
22/6/20,1708191,44256
22/6/20,994049,26076
22/6/20,32150,208
22/6/20,16046,115
22/6/20,18844,148
22/6/20,905546,20434
22/6/20,432988,2314
22/6/20,181025,891
22/6/20,2404405,39874
22/6/20,664875,18443
22/6/20,932002,33176
22/6/20,2332011,55440
22/6/20,22425,135
15/6/20,25492,174
15/6/20,510043,10369
15/6/20,2157457,40371
15/6/20,257281,1479
15/6/20,1621104,43796
15/6/20,193527,952
15/6/20,252715,1348
15/6/20,14365,112
15/6/20,284998,1437
15/6/20,831388,20024
15/6/20,3872,26
15/6/20,5479834,97289
15/6/20,8481716,143079
15/6/20,618571,17713
15/6/20,36422,222
15/6/20,430301,2371
15/6/20,18519,128
15/6/20,966668,26509
15/6/20,2271599,41195
15/6/20,419270,11261
15/6/20,5715215,103537
15/6/20,374439,1952
15/6/20,2056066,42997
15/6/20,912355,35089
15/6/20,20388,119
15/6/20,5577,42
15/6/20,835631,25526
15/6/20,15631,134
15/6/20,918809,26147
15/6/20,2349815,57521
15/6/20,25010,138
15/6/20,16155861,533811
15/6/20,29129,168
15/6/20,129019,732
8/6/20,878499,25604
8/6/20,5881428,103750
8/6/20,190269,950
8/6/20,417022,2323
8/6/20,356843,1875
8/6/20,1663363,44313
8/6/20,16455,126
8/6/20,2196351,43994
8/6/20,674648,13265
8/6/20,243833,1362
8/6/20,25433,132
8/6/20,2161290,40100
8/6/20,2454433,41874
8/6/20,8704856,142967
8/6/20,30352,175
8/6/20,453528,11362
8/6/20,1015342,26862
8/6/20,912400,21522
8/6/20,1001117,26800
8/6/20,18853,141
8/6/20,26083,167
8/6/20,2428193,57807
8/6/20,919837,34521
8/6/20,615262,17600
8/6/20,21104,131
8/6/20,17542,134
8/6/20,2903,23
8/6/20,5747970,98444
8/6/20,16849935,535189
8/6/20,235522,1284
8/6/20,35566,192
8/6/20,275936,1403
8/6/20,116723,699
8/6/20,7987,46
1/6/20,652666,18555
1/6/20,18454,145
1/6/20,31900,201
1/6/20,34399,167
1/6/20,918784,21941
1/6/20,919327,34418
1/6/20,134888,852
1/6/20,27440,212
1/6/20,37035,258
1/6/20,5542882,98137
1/6/20,6712,64
1/6/20,1030883,27357
1/6/20,22840,172
1/6/20,1717126,45584
1/6/20,5860205,105054
1/6/20,2360455,57233
1/6/20,205120,1150
1/6/20,2309548,42023
1/6/20,32415,166
1/6/20,849179,25617
1/6/20,17052,151
1/6/20,404701,2357
1/6/20,999623,27358
1/6/20,437102,2541
1/6/20,2120253,43617
1/6/20,4579,35
1/6/20,2199765,40879
1/6/20,431166,11406
1/6/20,296571,1661
1/6/20,271945,1650
1/6/20,676605,13372
1/6/20,16629472,533998
1/6/20,268157,1541
1/6/20,8595700,142997
25/5/20,1706118,43561
25/5/20,270166,1488
25/5/20,20006,155
25/5/20,2106575,38332
25/5/20,8488121,135250
25/5/20,21403,118
25/5/20,835435,24070
25/5/20,414909,2352
25/5/20,2081122,40998
25/5/20,2918,29
25/5/20,19068,137
25/5/20,22297,154
25/5/20,996323,25946
25/5/20,16512,139
25/5/20,203447,1104
25/5/20,5452272,91565
25/5/20,605686,17119
25/5/20,17471175,543117
25/5/20,407944,10495
25/5/20,2289378,53163
25/5/20,5745300,99416
25/5/20,27436,213
25/5/20,125540,782
25/5/20,967206,25377
25/5/20,572226,11066
25/5/20,248170,1512
25/5/20,34341,243
25/5/20,846554,19718
25/5/20,6730,66
25/5/20,377519,2127
25/5/20,290477,1578
25/5/20,878454,32072
25/5/20,2288818,39359
25/5/20,31126,192
18/5/20,5180,50
18/5/20,1041064,27711
18/5/20,408215,2331
18/5/20,293977,1600
18/5/20,16718027,537806
18/5/20,269246,1612
18/5/20,20850,113
18/5/20,553428,10936
18/5/20,5879139,104644
18/5/20,863512,20474
18/5/20,266727,1502
18/5/20,634015,18014
18/5/20,22785,177
18/5/20,33872,198
18/5/20,2397635,41985
18/5/20,446379,11502
18/5/20,1704710,45273
18/5/20,935950,35471
18/5/20,5577831,97770
18/5/20,8066,63
18/5/20,2137229,43956
18/5/20,23920,177
18/5/20,2181810,40542
18/5/20,2390319,57896
18/5/20,19294,167
18/5/20,127924,820
18/5/20,34101,255
18/5/20,214428,1184
18/5/20,27544,155
18/5/20,1011014,27372
18/5/20,858130,25761
18/5/20,33358,247
18/5/20,8614840,142242
18/5/20,429979,2485
11/5/20,2427780,57746
11/5/20,937494,22374
11/5/20,271535,1658
11/5/20,19302,156
11/5/20,213719,1156
11/5/20,1666719,44264
11/5/20,23475,168
11/5/20,32888,249
11/5/20,296032,1590
11/5/20,267121,1500
11/5/20,8691039,142948
11/5/20,975600,26639
11/5/20,2157702,44174
11/5/20,1007521,27144
11/5/20,17796,149
11/5/20,924372,34870
11/5/20,736120,14397
11/5/20,587325,17137
11/5/20,447537,2553
11/5/20,992683,25798
11/5/20,2390461,42229
11/5/20,31937,193
11/5/20,17003395,543958
11/5/20,387067,2183
11/5/20,11109,79
11/5/20,25288,151
11/5/20,27961,168
11/5/20,24343,205
11/5/20,2170354,40365
11/5/20,128595,782
11/5/20,5889856,104110
11/5/20,429645,11274
11/5/20,3235,28
11/5/20,5720394,98067
4/5/20,891013,26354
4/5/20,443375,11581
4/5/20,5841163,104878
4/5/20,342346,1791
4/5/20,193749,971
4/5/20,1680281,44647
4/5/20,238189,1364
4/5/20,5594389,98964
4/5/20,18574,137
4/5/20,422838,2413
4/5/20,15820,134
4/5/20,31719,180
4/5/20,2172521,40879
4/5/20,3488,33
4/5/20,2364169,42700
4/5/20,768780,15308
4/5/20,8566160,143295
4/5/20,1003334,27441
4/5/20,2135548,44133
4/5/20,17154923,559564
4/5/20,609432,17546
4/5/20,15561,113
4/5/20,25726,152
4/5/20,962097,36031
4/5/20,2388490,58022
4/5/20,115653,684
4/5/20,26963,198
4/5/20,18352,120
4/5/20,23754,158
4/5/20,6447,49
4/5/20,968300,23774
4/5/20,275157,1390
4/5/20,987733,27071
4/5/20,247167,1303
27/4/20,8780283,143019
27/4/20,274336,1473
27/4/20,2170377,43894
27/4/20,5360,36
27/4/20,17174527,547297
27/4/20,467520,2530
27/4/20,41755,151
27/4/20,282160,1383
27/4/20,256756,1362
27/4/20,1002458,26879
27/4/20,726861,14126
27/4/20,2445333,42394
27/4/20,988789,26842
27/4/20,16559,137
27/4/20,937197,34767
27/4/20,28880,181
27/4/20,370924,1890
27/4/20,26644,169
27/4/20,207150,1000
27/4/20,5951699,104994
27/4/20,609336,17636
27/4/20,32987,231
27/4/20,2441485,58188
27/4/20,961876,23148
27/4/20,30002,167
27/4/20,446817,11246
27/4/20,32531,180
27/4/20,18645,122
27/4/20,7325,47
27/4/20,2195881,40627
27/4/20,1658577,44298
27/4/20,5700397,98447
27/4/20,123667,724
27/4/20,894096,25861
20/4/20,5252378,86026
20/4/20,29453,173
20/4/20,8022,51
20/4/20,385106,1959
20/4/20,4640,28
20/4/20,28819,185
20/4/20,877459,23714
20/4/20,23000,135
20/4/20,433547,2439
20/4/20,895695,22752
20/4/20,2263926,52119
20/4/20,597336,11302
20/4/20,2046533,37302
20/4/20,2009275,39203
20/4/20,543467,15617
20/4/20,929165,23847
20/4/20,869651,30816
20/4/20,36371,248
20/4/20,5436400,94298
20/4/20,2356365,37963
20/4/20,264473,1465
20/4/20,190187,943
20/4/20,28736,166
20/4/20,23844,144
20/4/20,126901,764
20/4/20,1515672,39286
20/4/20,15527907,487707
20/4/20,16997,115
20/4/20,866940,19751
20/4/20,7978304,127222
20/4/20,425802,10193
20/4/20,263063,1407
20/4/20,288388,1444
20/4/20,15998,135
13/4/20,4184,29
13/4/20,17548858,560437
13/4/20,5386969,92605
13/4/20,23325,110
13/4/20,28673,158
13/4/20,982962,26678
13/4/20,20097,129
13/4/20,16680,124
13/4/20,2307339,42264
13/4/20,23307,142
13/4/20,31949,220
13/4/20,216040,1193
13/4/20,18510,116
13/4/20,147841,729
13/4/20,968269,36103
13/4/20,600050,11641
13/4/20,633301,18310
13/4/20,8767837,142513
13/4/20,251353,1220
13/4/20,4854,35
13/4/20,6178717,108364
13/4/20,221293,1151
13/4/20,308910,1578
13/4/20,1745528,45952
13/4/20,16526,107
13/4/20,932938,22051
13/4/20,449292,11647
13/4/20,2178517,44064
13/4/20,2419103,42196
13/4/20,906633,26384
13/4/20,1005344,27216
13/4/20,2475388,59460
13/4/20,348105,2006
13/4/20,100790,579
6/4/20,116880,650
6/4/20,31075,213
6/4/20,16541,111
6/4/20,241494,1235
6/4/20,710547,14092
6/4/20,2176885,40118
6/4/20,28410,160
6/4/20,2342078,57036
6/4/20,986782,23683
6/4/20,924311,25440
6/4/20,398920,2188
6/4/20,413762,10893
6/4/20,29905,160
6/4/20,813108,24791
6/4/20,237322,1306
6/4/20,5200942,91721
6/4/20,333634,1680
6/4/20,177303,847
6/4/20,29892,164
6/4/20,5799422,102746
6/4/20,16832802,546953
6/4/20,903941,25025
6/4/20,2346,20
6/4/20,20721,122
6/4/20,2088832,42580
6/4/20,16454,115
6/4/20,5383,41
6/4/20,1592057,42703
6/4/20,25716,143
6/4/20,2311475,40863
6/4/20,264490,1307
6/4/20,8263623,136691
6/4/20,585344,16927
6/4/20,891114,33927
30/3/20,30702,187
30/3/20,32471,212
30/3/20,257785,1351
30/3/20,120495,704
30/3/20,977303,26364
30/3/20,2208133,40592
30/3/20,29483,161
30/3/20,20015,133
30/3/20,895898,25624
30/3/20,2124166,43283
30/3/20,17642537,556268
30/3/20,1658430,44188
30/3/20,294409,1424
30/3/20,735922,14474
30/3/20,194948,928
30/3/20,2435956,58293
30/3/20,606829,17454
30/3/20,21566,141
30/3/20,439898,2443
30/3/20,21432,164
30/3/20,8740971,141863
30/3/20,941878,34582
30/3/20,1050362,24593
30/3/20,467930,11437
30/3/20,267356,1480
30/3/20,18991,119
30/3/20,5931859,104145
30/3/20,371226,1879
30/3/20,5745698,97533
30/3/20,3610,29
30/3/20,6858,52
30/3/20,30543,163
30/3/20,990555,26713
30/3/20,2495237,42422
23/3/20,27164,174
23/3/20,155518,770
23/3/20,992719,33480
23/3/20,18927,114
23/3/20,2490005,54521
23/3/20,934913,25146
23/3/20,1063402,26196
23/3/20,9109212,136025
23/3/20,6197,40
23/3/20,17753232,517371
23/3/20,25184,130
23/3/20,13530,94
23/3/20,1072428,22703
23/3/20,15582,100
23/3/20,201220,1105
23/3/20,2161048,40728
23/3/20,3888,24
23/3/20,2366196,39531
23/3/20,205136,1100
23/3/20,25142,142
23/3/20,234872,1161
23/3/20,2488563,40206
23/3/20,1938604,45001
23/3/20,657865,12105
23/3/20,22503,134
23/3/20,91783,561
23/3/20,708313,18041
23/3/20,475682,11305
23/3/20,6315213,100497
23/3/20,318582,1858
23/3/20,281589,1463
23/3/20,1085265,26347
23/3/20,5769071,91622
23/3/20,13847,110
2/9/19,381243,1858
2/9/19,5316991,92238
2/9/19,129611,735
2/9/19,32138,220
2/9/19,29707,149
2/9/19,1254576,29370
2/9/19,617978,16800
2/9/19,18469,134
2/9/19,22014,144
2/9/19,494535,11653
2/9/19,1985730,36086
2/9/19,1028321,25906
2/9/19,27194,139
2/9/19,2459050,39340
2/9/19,391873,2173
2/9/19,961642,33532
2/9/19,40315,211
2/9/19,272114,1398
2/9/19,25725,165
2/9/19,253849,1282
2/9/19,590456,11054
2/9/19,202293,893
2/9/19,25870,161
2/9/19,1660512,42499
2/9/19,5531002,90970
2/9/19,2292354,52843
2/9/19,1047870,26561
2/9/19,826796,24266
2/9/19,17806668,571701
2/9/19,2267,16
2/9/19,8262174,131762
2/9/19,6841,45
2/9/19,266528,1277
2/9/19,1973371,39469
26/8/19,31453,198
26/8/19,2331130,39373
26/8/19,620223,16978
26/8/19,27699,145
26/8/19,1203868,28516
26/8/19,6092,40
26/8/19,127168,733
26/8/19,32452,210
26/8/19,5473121,91827
26/8/19,356956,1769
26/8/19,20828,149
26/8/19,369319,2029
26/8/19,259773,1277
26/8/19,1929641,39066
26/8/19,5332074,93300
26/8/19,1044969,26941
26/8/19,8238255,132654
26/8/19,1675127,42606
26/8/19,19297,126
26/8/19,24919,121
26/8/19,26696,159
26/8/19,935858,33579
26/8/19,24841,143
26/8/19,17663432,570860
26/8/19,256997,1348
26/8/19,262343,1311
26/8/19,1041166,26418
26/8/19,2290508,53497
26/8/19,2010752,36537
26/8/19,192682,927
26/8/19,3773,24
26/8/19,450380,11345
26/8/19,515995,10058
26/8/19,822335,24165
19/8/19,38358,189
19/8/19,129399,706
19/8/19,5547204,91033
19/8/19,23309,129
19/8/19,6781,40
19/8/19,31658,203
19/8/19,368258,1777
19/8/19,21077,143
19/8/19,2006320,36406
19/8/19,343077,1895
19/8/19,264549,1303
19/8/19,20593,155
19/8/19,1029016,25890
19/8/19,29456,176
19/8/19,945017,33974
19/8/19,2322859,38974
19/8/19,465483,9078
19/8/19,24325,157
19/8/19,1176387,27395
19/8/19,1967581,39035
19/8/19,193294,909
19/8/19,253273,1348
19/8/19,1706901,42881
19/8/19,18866,106
19/8/19,8350935,131812
19/8/19,17527602,565321
19/8/19,611278,16682
19/8/19,2378,17
19/8/19,469318,11420
19/8/19,5330150,92725
19/8/19,2296465,53555
19/8/19,834045,24186
19/8/19,1073827,27115
19/8/19,259908,1273
12/8/19,2282081,38555
12/8/19,8183187,131290
12/8/19,3737,27
12/8/19,1090378,27652
12/8/19,5457023,90621
12/8/19,928265,33741
12/8/19,36169,182
12/8/19,23598,166
12/8/19,2258626,52883
12/8/19,17468989,561534
12/8/19,610219,16832
12/8/19,26526,152
12/8/19,1115094,25726
12/8/19,405754,7959
12/8/19,461143,11265
12/8/19,251352,1344
12/8/19,9241,51
12/8/19,31692,196
12/8/19,350788,1936
12/8/19,243164,1224
12/8/19,1985697,36385
12/8/19,28636,174
12/8/19,29725,141
12/8/19,5212489,91719
12/8/19,1668051,42679
12/8/19,193070,893
12/8/19,817943,24181
12/8/19,19587,130
12/8/19,257841,1252
12/8/19,1923248,38909
12/8/19,131923,728
12/8/19,1025732,25870
12/8/19,17997,98
12/8/19,356207,1735
5/8/19,931394,32922
5/8/19,137618,766
5/8/19,7538,54
5/8/19,1130398,25861
5/8/19,33668,227
5/8/19,260279,1249
5/8/19,5565837,90369
5/8/19,27878,175
5/8/19,2281796,52714
5/8/19,267558,1325
5/8/19,8363043,131750
5/8/19,1022615,25436
5/8/19,361463,1982
5/8/19,27734,151
5/8/19,541501,10692
5/8/19,203488,957
5/8/19,597010,16282
5/8/19,2349240,38707
5/8/19,17684134,557621
5/8/19,470198,11442
5/8/19,1994001,36113
5/8/19,36421,210
5/8/19,5323406,92052
5/8/19,834376,23788
5/8/19,1961519,38818
5/8/19,396598,1920
5/8/19,27231,170
5/8/19,19501,149
5/8/19,28051,175
5/8/19,1674576,41994
5/8/19,1085040,26843
5/8/19,3127,25
5/8/19,278255,1468
5/8/19,27569,137
29/7/19,17593,137
29/7/19,35012,227
29/7/19,29393,184
29/7/19,25267,149
29/7/19,27405,163
29/7/19,595076,16208
29/7/19,8237305,130807
29/7/19,5417960,88305
29/7/19,123208,694
29/7/19,1109993,25891
29/7/19,916549,32413
29/7/19,198640,924
29/7/19,2263308,51946
29/7/19,259190,1251
29/7/19,17359311,552272
29/7/19,1055682,26481
29/7/19,8172,48
29/7/19,5237254,91291
29/7/19,361139,1800
29/7/19,1909859,38114
29/7/19,2668,20
29/7/19,243886,1299
29/7/19,998370,24942
29/7/19,353263,1932
29/7/19,20527,135
29/7/19,809765,23310
29/7/19,1973212,36101
29/7/19,1619544,41245
29/7/19,25439,155
29/7/19,258016,1255
29/7/19,34676,176
29/7/19,602728,11762
29/7/19,2304606,38414
29/7/19,448780,11156
22/7/19,1088336,26836
22/7/19,7928,53
22/7/19,21452,160
22/7/19,383349,1887
22/7/19,919857,32683
22/7/19,1087558,25031
22/7/19,22413,147
22/7/19,605712,16441
22/7/19,1947365,38606
22/7/19,1658726,41910
22/7/19,28146,135
22/7/19,131891,740
22/7/19,32738,220
22/7/19,34509,181
22/7/19,5556108,89481
22/7/19,3634,24
22/7/19,8378308,131684
22/7/19,245781,1235
22/7/19,440109,11029
22/7/19,1998934,36248
22/7/19,38702,216
22/7/19,201627,966
22/7/19,2289166,52567
22/7/19,26434,167
22/7/19,335889,1884
22/7/19,1011656,24893
22/7/19,5333539,92330
22/7/19,831248,23728
22/7/19,26772,164
22/7/19,550690,10791
22/7/19,270798,1304
22/7/19,17661892,553353
22/7/19,264055,1408
22/7/19,2328662,38479
15/7/19,28175,167
15/7/19,2336275,39027
15/7/19,1625310,41399
15/7/19,605739,16641
15/7/19,18710,137
15/7/19,1068561,26915
15/7/19,1921382,38782
15/7/19,3420,24
15/7/19,5443264,89287
15/7/19,916284,32862
15/7/19,28479,155
15/7/19,248110,1217
15/7/19,2283775,52646
15/7/19,22962,151
15/7/19,827767,23975
15/7/19,5241340,92576
15/7/19,343774,1710
15/7/19,28017,167
15/7/19,34700,225
15/7/19,23955,128
15/7/19,9441,66
15/7/19,501126,10024
15/7/19,125177,713
15/7/19,248451,1317
15/7/19,8158867,131240
15/7/19,243826,1192
15/7/19,989179,25039
15/7/19,1039654,24081
15/7/19,180584,891
15/7/19,463863,11465
15/7/19,1975874,36354
15/7/19,27082,154
15/7/19,17341993,552671
15/7/19,336802,1813
8/7/19,600329,16397
8/7/19,250538,1224
8/7/19,8731,55
8/7/19,2006754,36596
8/7/19,1119373,25536
8/7/19,2281688,52698
8/7/19,30068,167
8/7/19,37203,189
8/7/19,1932743,38583
8/7/19,140091,755
8/7/19,2368717,38911
8/7/19,21302,131
8/7/19,20702,153
8/7/19,459078,11346
8/7/19,17847247,563483
8/7/19,823955,23722
8/7/19,175962,827
8/7/19,1069852,26177
8/7/19,986372,24586
8/7/19,251840,1238
8/7/19,36931,223
8/7/19,28833,167
8/7/19,5373915,93696
8/7/19,610742,11603
8/7/19,263908,1398
8/7/19,8268743,129655
8/7/19,1644832,41550
8/7/19,336358,1823
8/7/19,377649,1819
8/7/19,26177,160
8/7/19,920105,33066
8/7/19,5523016,87271
8/7/19,3179,23
8/7/19,30578,154
1/7/19,441745,11125
1/7/19,946499,24146
1/7/19,569655,11496
1/7/19,17199917,555900
1/7/19,5285035,92945
1/7/19,24817,158
1/7/19,994828,25098
1/7/19,304375,1544
1/7/19,18127,142
1/7/19,7647263,124453
1/7/19,201414,1048
1/7/19,223970,1242
1/7/19,215691,1089
1/7/19,4823199,81334
1/7/19,150015,718
1/7/19,2206271,51891
1/7/19,804534,23378
1/7/19,26716,156
1/7/19,31557,203
1/7/19,2217254,37842
1/7/19,121208,685
1/7/19,1053321,24940
1/7/19,22796,150
1/7/19,1871099,37904
1/7/19,3090,24
1/7/19,626622,16814
1/7/19,887154,32238
1/7/19,7892,48
1/7/19,1668735,42044
1/7/19,295536,1627
1/7/19,23150,150
1/7/19,34642,179
1/7/19,26564,127
1/7/19,2012166,36461
24/6/19,626993,16930
24/6/19,353815,1816
24/6/19,5090780,85700
24/6/19,134166,717
24/6/19,28660,150
24/6/19,5386709,93799
24/6/19,2285350,38832
24/6/19,22084,171
24/6/19,2280355,52666
24/6/19,28956,195
24/6/19,252759,1273
24/6/19,528835,10760
